id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(L) #post,bL(L) #pre,#voxels
693927941,ALIN1_R,,ALIN1,Traced,1553,406,147,37,2113783525
707647321,PAM04_a(B2)_L,,PAM04_a,Traced,650,142,364,75,188620262
707660374,PAM04_a(B2)_L,,PAM04_a,Traced,1650,313,997,184,311089027
735282133,PAM09(B1ped)_L,,PAM09,Traced,832,224,97,35,357006298
767494105,KCab-p_R,,KCab-p,Traced,633,218,57,26,365582357
800264315,PAM04_a(B2)_R,,PAM04_a,Traced,1548,268,379,73,456132824
800743420,PAM04_a(B2)_L,,PAM04_a,Traced,546,156,303,82,135248805
858725815,PAM03(B2B'2a)_L,,PAM03,Traced,445,109,141,30,159577026
893158121,PAM04_a(B2)_L,,PAM04_a,Traced,220,59,37,9,104991789
923726321,PAM04_a(B2)_R,,PAM04_a,Traced,2114,345,776,135,486729507
1016611275,(PVL05)_L,,,Traced,934,741,1,1,614564619
1016805008,KCab-p_R,,KCab-p,Traced,703,242,81,37,378892564
1016835041,MBON09(y3B'1)(AVM17)_L,,MBON09,Traced,20281,1291,84,2,2083130629
1036637638,ExR3(ring)_R,5-HTPMPD candidates,ExR3,Traced,10576,4817,1,2,5331729469
1047183897,PAM04_a(B2)_R,,PAM04_a,Traced,3253,456,1163,173,656674162
1047489962,PAM11(a1)_L,,PAM11,Traced,658,200,2,1,327454873
1048004460,PAM09(B1ped)_L,,PAM09,Traced,743,225,465,136,233922701
1048207713,PAM09(B1ped)_R,,PAM09,Traced,938,203,230,61,430816435
1050585709,PAM03(B2B'2a)_R,,PAM03,Traced,336,80,114,28,149916255
1078007730,PAM04_a(B2)_L,,PAM04_a,Traced,2210,396,1226,206,367958807
1078572735,PAM04_a(B2)_R,,PAM04_a,Traced,338,71,98,24,135784276
1079707882,PAM04_a(B2)_L,,PAM04_a,Traced,289,75,94,24,96768615
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,5,1,339562986
