id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,#voxels
488710790,,,,Traced,17,7,16,7,8168590
488710802,,,,Traced,16,3,14,3,4250711
489043331,,,,Traced,12,6,10,5,8601368
489051483,,,,Traced,21,9,18,9,9335866
489051530,,,,Traced,21,10,21,10,8466621
489051591,,,,Traced,8,7,3,2,5245764
489051654,,,,Traced,31,15,31,15,10146147
489051750,,,,Traced,58,25,7,5,21140412
489051772,,,,Traced,52,32,3,1,25148698
489051866,,,,Traced,71,40,6,2,32974410
489051920,,,,Assign,9,2,9,2,61041
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,1964048244
518035986,,,,Traced,116,52,5,2,34409566
518372762,,,,Traced,62,45,2,4,29851988
518372893,,,,Traced,78,31,11,4,30823571
518377314,,,,Traced,79,45,13,4,36149502
518381399,,,,Traced,76,43,6,4,33100048
518381401,,,,Traced,92,37,5,1,29460905
518381569,,,,Traced,67,41,1,1,34482868
518713833,,,,Assign,8,2,8,2,77562
518718352,,,,Traced,75,26,8,1,37084305
518722309,,,,Traced,34,15,3,1,8462296
519063474,,,,Traced,4,3,2,2,5376411
519063704,,,,Traced,15,6,15,6,3970755
519400316,,,,Traced,94,34,94,34,15474685
519404348,,,,Traced,10,1,10,1,2257195
519404349,,,,Traced,12,4,12,4,2540534
519404351,,,,Traced,15,3,15,3,2996246
519404357,,,,Traced,4,3,4,3,2369114
519404731,,,,Assign,12,1,12,1,115580
519737017,,,,Assign,1,3,1,3,17616
519745319,,,,Assign,1,2,1,2,42469
519745378,,,,Traced,9,8,9,8,5034044
519745379,,,,Traced,39,17,39,17,9020911
519745414,,,,Traced,8,4,8,4,4214846
519745468,,,,Traced,7,3,7,3,2179229
519745511,,,,Traced,4,5,4,5,1991757
519745542,,,,Traced,40,23,5,4,17163439
519745549,,,,Traced,6,2,6,2,1786798
519745563,,,,Traced,11,3,11,3,1963833
519745630,,,,Traced,38,27,5,3,22739680
520082378,,,,Traced,58,28,55,27,18392967
520086403,,,,Traced,124,17,24,1,16079050
520086475,,,,Traced,8,3,8,3,1008297
520086631,,,,Traced,6,5,5,1,4806147
549071475,,,,Traced,83,39,5,4,40001247
549071893,,,,Traced,50,23,2,3,20342722
549407664,,,,Traced,65,45,5,2,29922554
549416456,,,,Traced,87,47,2,1,40462014
549416536,,,,Traced,79,32,4,3,28440633
549748710,,,,Traced,74,38,10,4,31955064
549757545,,,,Traced,105,15,5,1,19576855
550089756,,,,Assign,10,1,10,1,60090
550098698,,,,Traced,93,50,11,7,37141134
550439233,,,,Traced,7,3,4,2,6212270
550439293,,,,Traced,4,2,4,2,1919724
550439598,,,,Traced,1,2,1,2,1297749
550439609,,,,Traced,1,2,1,2,1413730
550780387,,,,Traced,43,18,1,3,20401054
550780613,,,,Traced,28,20,1,2,19993844
550780642,,,,Traced,35,28,5,2,20922223
551121526,,,,Traced,35,16,10,4,17918551
580106818,,,,Traced,74,44,2,1,35518793
580106851,,,,Traced,88,42,8,3,31320840
580110259,,,,Traced,89,49,3,2,36381522
580446796,,,,Traced,85,42,2,1,32839240
580787798,,,,Traced,90,37,10,1,28165167
580787866,,,,Traced,77,36,5,1,28795212
580787883,,,,Traced,319,69,33,10,54087378
580788391,,,,Traced,107,48,8,2,34035470
580788416,,,,Traced,55,30,2,4,24034168
581124560,,,,Assign,2,2,2,2,55074
581133142,,,,Traced,15,3,15,3,3403777
581133204,,,,Traced,66,25,11,6,26288782
581133446,,,,Traced,47,28,9,6,16082411
581470217,,,,Traced,17,4,17,4,3683748
581474376,,,,Traced,53,25,5,3,23586615
581815284,,,,Traced,40,22,1,1,20637660
581815413,,,,Traced,12,6,10,4,2927321
581815473,,,,Traced,54,28,7,1,27094384
581815589,,,,Traced,75,28,3,2,24112346
611477412,,,,Traced,59,38,3,3,32231482
611827043,,,,Traced,271,42,6,1,42011879
612163819,,,,Assign,1,2,1,2,17000
612168068,,,,Traced,85,49,1,6,32254462
612505038,,,,Orphan,35,1,35,1,240006
612509328,,,,Traced,10,2,5,1,3928703
612850115,,,,Traced,47,25,3,2,18885995
612850256,,,,Traced,46,23,1,1,15921901
613191147,,,,Traced,4,4,1,2,3267501
613191236,,,,Traced,9,2,8,1,4875823
613191410,,,,Traced,34,15,1,1,18129553
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,438,96,1095641228
642862339,,,,Traced,61,32,3,1,25272568
643199007,,,,Traced,27,1,18,1,804460
643203302,,,,Assign,12,1,12,1,85780
643880965,,,,Traced,156,11,150,11,14060724
643885386,,,,Traced,73,38,5,4,27976972
643885450,,,,Traced,34,22,1,1,13658265
644226182,,,,Traced,48,26,3,4,21048631
644226338,,,,Traced,35,11,4,1,7409921
644226341,,,,Traced,47,19,4,1,18832030
673892838,,,,Traced,78,39,13,9,31069427
673892990,,,,Traced,93,46,3,2,33655280
673893063,,,,Traced,29,16,7,3,11042181
674229949,,,,Traced,66,40,8,8,30174102
674233706,,,,Traced,49,13,49,13,6912877
674233962,,,,Traced,88,10,88,10,6195922
674238061,,,,Traced,67,15,67,15,7922539
674238138,,,,Traced,81,6,81,6,4949713
674570468,,,,Assign,13,1,13,1,988359
674570925,,,,Traced,77,35,2,1,31633814
674574945,,,,Traced,62,4,62,4,4899900
674574953,,,,Assign,11,1,11,1,63315
674579084,,,,Traced,44,1,44,1,1492026
674579090,,,,Orphan,19,3,19,3,1641752
674579113,,,,Assign,1,2,1,2,18693
674579115,,,,Orphan,22,7,22,7,3293569
674915860,,,,Traced,42,7,42,7,3484950
674920005,,,,Traced,52,32,2,1,16899825
674920019,,,,Traced,33,18,3,3,14475357
674920118,,,,Traced,25,1,25,1,1181020
674920180,,,,Traced,41,25,2,1,16686849
675261072,,,,Traced,34,17,2,1,15154240
675261180,,,,Traced,51,7,7,1,7099439
675261386,,,,Traced,25,9,25,9,3525370
704927430,,,,Traced,95,40,10,3,33832031
704931757,,,,Traced,27,3,22,3,8251902
704932037,,,,Traced,601,161,520,129,84296659
705264340,,,,Traced,63,38,2,1,32128978
705268718,,,,Assign,11,1,11,1,103051
705273015,,,,Traced,10,3,10,3,1062399
705273086,,,,Traced,8,2,8,2,329523
705605536,,,,Traced,84,42,3,1,27957218
705613989,,,,Traced,48,10,48,10,4453710
705614034,,,,Traced,94,4,94,4,4404651
705955021,,,,Traced,30,9,30,9,3342767
706287739,,,,Traced,45,35,1,2,32124162
706288050,,,,Traced,45,29,5,5,23382946
706295942,,,,Traced,56,28,1,1,19955025
706296108,,,,Traced,18,7,11,4,6315684
706296367,,,,Traced,42,15,8,3,10747465
706633128,,,,Traced,52,36,6,5,27955134
735967048,,,,Traced,28,8,28,8,3868908
735967122,,,,Traced,13,1,12,1,865337
735967131,,,,Traced,18,5,17,4,5045766
735967312,,,,Traced,5,2,4,2,1317919
736303469,,,,Traced,68,1,53,1,11071706
736308078,,,,Traced,20,1,20,1,645737
736640236,,,,Traced,61,32,3,3,28971564
