id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,#voxels
1109568718,PAM11(a1)_L,,PAM11,Traced,706,219,9,2,339562986
1110298200,PAM02(B'2a)_R,,PAM02,Traced,1403,217,8,2,326742368
1110972158,PAM10(B1)_R,,PAM10,Traced,2803,504,1243,291,720192159
1130687130,KCab-s_R,,KCab-s,Traced,613,230,146,66,365003786
1139921468,KCab-m_R,,KCab-m,Traced,537,205,137,64,289911564
1139921865,KCab-m_R,,KCab-m,Traced,599,212,109,57,275656399
1140603698,KCab-s_R,,KCab-s,Traced,567,243,154,94,311585687
1140750808,PAM04_a(B2)_L,,PAM04_a,Traced,1220,221,458,92,258964557
1140950118,KCg-m_R,,KCg-m,Traced,761,244,8,1,335259195
1140996390,PAM04_a(B2)_R,,PAM04_a,Traced,2268,365,1273,219,498035936
1141328881,PAM04_a(B2)_R,,PAM04_a,Traced,1492,265,695,173,474678964
1141329053,PAM04_a(B2)_R,,PAM04_a,Traced,1824,278,847,155,408798680
1162063500,KCab-m_R,,KCab-m,Traced,580,221,137,53,298171364
1170606692,KCab-s_R,,KCab-s,Traced,542,223,196,93,287223511
1171690432,PAM02(B'2a)_R,,PAM02,Traced,1506,171,4,1,324421746
1172713521,KCg-s1(super)_R,,KCg-s1,Traced,2551,826,3,7,1054848410
1173745411,KCg-m_R,,KCg-m,Traced,809,252,1,1,379558460
1175070762,KCg-d_R,,KCg-d,Traced,646,251,5,3,369691167
1203066201,PAM02(B'2a)_R,,PAM02,Traced,1315,198,17,2,330545885
1203066222,PAM04_a(B2)_R,,PAM04_a,Traced,2490,381,1307,236,515766690
1203066401,PAM04_a(B2)_R,,PAM04_a,Traced,2309,357,1230,239,444720536
1203070528,PAM01_a(y5)_R,,PAM01_a,Traced,712,157,8,2,320100027
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,2,1,411264180
1204447548,KCg-m_R,,KCg-m,Traced,723,224,1,2,392214550
1231299343,PAM11(a1)_R,,PAM11,Traced,1895,315,52,9,659070629
1233436426,PAM03(B2B'2a)_R,,PAM03,Traced,703,144,241,53,239327987
1233703950,KCab-s_R,,KCab-s,Traced,574,243,161,81,304942853
1235150293,KCg-d_R,,KCg-d,Traced,561,208,1,1,301136200
1261989183,KCab-s_R,,KCab-s,Traced,617,232,172,85,230223045
1263832477,PAM03(B2B'2a)_L,,PAM03,Traced,571,107,176,42,145351462
1293516024,KCa'B'_L?,,,Traced,261,110,4,1,93745473
1295225451,PAM04_b(B2)(ADM02)_L,,PAM04_b,Traced,545,134,67,16,225739136
1295501882,PAM02(B'2a)_R,,PAM02,Traced,1283,199,7,2,317425488
1297815807,PAM10(B1)_L,,PAM10,Traced,1604,427,1015,286,472380184
1327494939,KCab-s_R,,KCab-s,Traced,617,248,166,75,315605543
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,12,4,429239588
1327831994,KCab-s_R,,KCab-s,Traced,598,274,221,112,322572716
1328505485,KCab-p_R,,KCab-p,Traced,723,261,237,94,394578410
1328513713,PAM10(B1)_L,,PAM10,Traced,1522,456,955,290,513933742
1328518365,,,,Orphan,5,5,5,5,1842237
1328522741,PAM10(B1)_L,,PAM10,Traced,1027,321,765,239,355086914
1359212271,KCab-s_R,,KCab-s,Traced,606,251,155,73,309923679
1359553384,KCab-s_R,,KCab-s,Traced,599,259,167,91,330140818
1387575003,KCab-p_R,,KCab-p,Traced,706,261,262,89,398985389
1387583729,PAM03(B2B'2a)_L,,PAM03,Traced,338,90,109,36,119268985
1387583807,PAM03(B2B'2a)_R,,PAM03,Traced,538,121,107,35,193662875
1388585088,KCab-p_R,,KCab-p,Traced,635,220,253,91,352744706
1390618359,KCab-m_R,,KCab-m,Traced,606,224,179,70,201541962
1390942076,KCab-s_R,,KCab-s,Traced,622,243,210,94,349860306
1390946364,,,,Orphan,32,5,32,5,7065561
1418273110,KCab-p_R,,KCab-p,Traced,608,250,212,84,278789370
1418351262,PAM04_a(B2)_R,,PAM04_a,Traced,555,137,183,65,239134628
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,48,28,6190229391
1419019956,PAM04_a(B2)_R,,PAM04_a,Traced,1655,255,828,157,383407340
1420306364,KCab-m_R,,KCab-m,Traced,487,195,122,56,260852272
1420651734,KCab-m_R,,KCab-m,Traced,583,202,145,65,296452717
1420940727,,,,Orphan,3,4,3,4,1401142
1420966843,KCab-s_R,,KCab-s,Traced,592,234,176,85,316176556
1421622854,,,,Orphan,1,2,1,2,102737
