id,instance,notes,type,status,inputs (#post),outputs (#pre),NO #post,NO #pre,#voxels
1219889738,PFNp_c(PB01c)_L9_C9,PFNp_c,PFNp_c,Traced,258,82,179,37,184585387
1220576923,PEN_a(PB06a)_L9,,PEN_a(PEN1),Traced,1833,643,605,173,883794470
1220581302,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,135,50,91,28,107373795
1220584946,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1349,320,506,104,524380567
1223640877,PFNv(PB05)_L6_C5,PFNv,PFNv,Traced,480,166,330,70,323395635
1224249917,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,556,106,255,34,324744105
1224254476,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,513,99,248,46,279492497
1224258912,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1658,1145,154,37,717985024
1224595273,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2359,1059,169,52,1211327177
1224936588,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,443,108,234,39,297415403
1224941044,FB2A(PPM3-FB2-NO-DAN)_R,NOaLALFB2,FB2A,Traced,2613,1170,150,33,1272001412
1224945418,FB2A(PPM3-FB2-NO-DAN)_L,NOaLALFB2,FB2A,Traced,1475,1010,155,48,638450431
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,1040,170,2367341468
1248424794,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,235,62,138,34,167706792
1248765883,PFNp_d(PB01a)_R9_C2,PFNp_d,PFNp_d,Traced,167,23,84,2,109632660
1248770299,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,472,105,311,38,248764575
1249098248,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,414,95,264,31,245492361
1249763220,PFNp_c(PB01c)_R9_C1,PFNp_c,PFNp_c,Traced,466,85,297,39,230917019
1250113157,PFNp_b(PB01b)_R9_C1,PFNp_b,PFNp_b,Traced,185,50,125,31,138462094
1250113288,PFNp_e(PB01a)_R9_C2,PFNp_e,PFNp_e,Traced,376,77,231,41,201082822
1251265590,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,129,48,103,24,122289121
1251265778,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,147,49,80,17,119435766
1251269930,PFNp_e(PB01a)_L9_C8,PFNp_e,PFNp_e,Traced,248,70,157,38,153099415
1251275120,PFNa(PB03)_L9_C9,PFNa,PFNa,Traced,570,150,274,43,357032990
1251952397,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,186,55,139,32,112002974
1255297613,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,559,113,274,42,316317120
1255638782,PFNa(PB03)_L6_C5,PFNa,PFNa,Traced,531,117,319,43,325866264
1256376704,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,258,79,191,38,201325134
1268568859,LCNOp(LAL-NO3p)_R,LCNp,LCNOp,Traced,4090,394,994,394,1446214118
1282300415,PFNp_a(PB01a)_L9_C8,PFNp_a,PFNp_a,Traced,183,61,121,33,123262281
1282305753,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,164,47,122,19,118136261
1282646571,PFNp_b(PB01b)_L9_C9,PFNp_b,PFNp_b,Traced,156,56,90,26,118912206
1282991279,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,150,46,129,28,126159058
1286315568,PFNa(PB03)_R6_C5,PFNa,PFNa,Traced,543,107,258,40,300802409
1287411513,PFNp_d(PB01a)_R6_C5,PFNp_d,PFNp_d,Traced,89,22,33,1,101264112
1289359184,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4578,2519,271,121,2446970593
1310499077,PFNm_a(PB02a)_R9_C1,PFNm_a,PFNm_a,Traced,635,147,454,59,310431039
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,540,113,839952860
1320799646,PFNp_a(PB01a)_L8_C7,PFNp_a,PFNp_a,Traced,174,65,95,24,128176386
1326264840,LNO3(LAL-NO2bilateral)_R,LNO3,LNO3,Traced,2082,502,1442,478,1389645128
1345056477,PFNp_b(PB01b)_L9_C8,PFNp_b,PFNp_b,Traced,121,26,52,4,103644725
1348057533,FB1C(NO1/NO3)_L,LALNOmFB1,FB1C,Traced,1549,1116,468,189,804505807
1348769299,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,212,35,99,15,115742706
1349114660,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,114,40,66,22,127554851
1349114669,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,230,44,74,13,138581517
1349114715,PFNm_a(PB02a)_L4_C3,PFNm_a,PFNm_a,Traced,434,54,295,35,222259750
1350803100,PFNp_a(PB01a)_R5_C6,PFNp_a,PFNp_a,Traced,260,87,124,24,175051158
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,13,7,5492683352
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,646,146,619565622
1379087619,FB1C(NO1/NO3)_L,LALNOmFB1,FB1C,Traced,1636,1169,439,172,873045387
1380145201,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,317,78,228,40,163099219
1380145267,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,179,50,108,25,131950425
1380149563,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,258,60,198,35,161678827
1380149683,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,296,70,229,31,191121333
1380408540,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,204,39,108,11,123772072
1380408769,PFNp_d(PB01a)_R7_C4,PFNp_d,PFNp_d,Traced,178,31,78,3,126155522
1380495496,PEN_a(PB06a)_L6,PEN1,PEN_a(PEN1),Traced,1285,367,445,89,467834236
1410105306,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,346,67,196,31,186565124
1410118722,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,133,18,62,2,118974380
1410122382,PFNm_a(PB02a)_R6_C5,PFNm_a,PFNm_a,Traced,538,95,365,40,245546738
1410122586,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,475,86,311,29,235054644
1410122843,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,210,46,92,24,134434265
1410122892,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,435,80,287,32,236861136
1410127303,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,435,96,311,39,238160891
1410127581,PFNm_a(PB02a)_L6_C5,PFNm_a,PFNm_a,Traced,421,94,294,38,222599797
1410450511,PFNm_b(PB02b)_R4_C7,PFNm_b,PFNm_b,Traced,498,86,228,35,216523210
1410450514,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,209,58,97,25,137642051
1410450694,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,186,47,116,23,144402524
1410450859,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,202,41,111,22,128311617
1410450949,PFNm_a(PB02a)_R6_C5,PFNm_a,PFNm_a,Traced,586,108,412,44,263849323
