id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,gL(R) #post,gL(R) #pre,#voxels
1204447548,KCg-m_R,,KCg-m,Traced,723,224,1,,430,184,392214550
1204547624,PAM12(y3)_L,,PAM12,Traced,828,213,2,2,151,50,296229744
1204875505,PAM12(y3)_L,,PAM12,Traced,864,203,3,,198,74,228273943
1205225146,PAM12(y3)_L,,PAM12,Traced,900,201,4,1,188,65,297353925
1206114100,PAM12(y3)_R,,PAM12,Traced,764,137,1,,358,78,308877449
1224137495,KCg-s3_R,,KCg-s3,Traced,1161,409,25,12,796,320,637070643
1231735257,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,204,298,102,6,5,424144752
1233428010,PAM01_a(y5)_R,,PAM01_a,Traced,1101,172,10,1,559,127,371802936
1233436479,PAM15_b(y5B'2a)_R,,PAM15_b,Traced,1278,153,157,19,639,94,294637816
1233505806,PAM02(B'2a)_L,,PAM02,Traced,1339,202,447,87,28,2,294286432
1233773217,PAM01_a(y5)_R,,PAM01_a,Traced,1341,162,16,,748,128,319599604
1234386037,MBON07(a1)_R,,MBON07,Traced,15487,512,43,,24,2,1466363330
1234481054,PAM01_a(y5)_R,,PAM01_a,Traced,1004,155,12,2,594,113,273212378
1264186300,PAM01_a(y5)_L,,PAM01_a,Traced,900,143,10,1,288,54,240889204
1266478519,PAM12(y3)_L,,PAM12,Traced,577,117,9,1,207,59,216360555
1266871604,PAM01_a(y5)_R,,PAM01_a,Traced,1750,149,11,,846,99,416278069
1267164975,KCg-m_R,,KCg-m,Traced,793,234,8,2,472,196,251292043
