id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,10,5,126,73,431318660
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,19,6,123,66,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,11,4,175,92,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,3,,3,2,322349102
5813055949,SMP175_R,,SMP175,Traced,5020,938,18,4,6,1,2584249964
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,1,1,182,85,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,10,7,202,108,436927867
5813056309,KCg-m_R,,KCg-m,Traced,825,283,523,218,6,4,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,9,1,140,71,403944266
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,2,,172,83,396399147
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,17,6,193,91,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,5,3,105,67,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,7,3,172,80,450117799
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,6,6,176,92,430406202
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,13,7,169,99,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,2,2,1,1,369871738
5813060798,KCg-m_R,,KCg-m,Traced,683,212,455,177,,1,323936634
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,84,55,9,10,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,8,8,162,85,475789178
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,8,5,146,76,425676562
5813062631,KCg-m_R,,KCg-m,Traced,758,263,450,220,3,3,374158925
5813062637,KCg-m_R,,KCg-m,Traced,796,258,460,217,4,3,378340500
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,14,5,190,78,445344768
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,12,8,178,90,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,20,13,135,76,430438345
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,1,1,217,103,431484345
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,25,18,149,88,437165853
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,10,5,129,73,364741205
5813069792,KCg-m_R,,KCg-m,Traced,647,183,390,154,2,1,328684224
5813070672,KCg-m_R,,KCg-m,Traced,719,237,456,194,12,5,398858277
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,11,8,165,82,453604666
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,8,13,193,107,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,8,7,133,89,472655195
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,30,15,153,81,446899629
5813083651,KCg-d_R,,KCg-d,Traced,547,216,342,142,39,21,353327717
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,1,1,127,76,360084803
5813084692,KCg-m_R,,KCg-m,Traced,825,283,444,207,39,12,387026360
5813090997,KCg-d_R,,KCg-d,Traced,522,198,371,155,3,2,306605759
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,20,15,120,79,416182724
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,11,6,136,83,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,24376,5774,9585,2307,15191654896
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,27,22,153,81,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,5,6,134,81,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,5,7,110,64,434542432
5813134052,SMP116_L,,SMP116,Traced,4496,712,39,4,3,1,2112469689
5901213440,CRE011_R,,CRE011,Traced,19674,2149,193,8,69,6,5844952800
