id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(R) #post,b'L(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,306,123,144,58,419710605
5812982429,KCa'b'-m_R,,KCa'b'-m,Traced,682,214,325,105,189,92,423231483
5812982436,KCg-m_R,,KCg-m,Traced,779,249,8,5,3,1,354659380
5812982442,KCg-m_R,,KCg-m,Traced,828,258,6,1,7,6,382934901
5812982514,KCab-s_R,,KCab-s,Traced,589,237,1,1,1,1,363758686
5812982579,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,492,173,322,125,37,22,410959307
5812982692,KCa'b'-m_R,,KCa'b'-m,Traced,591,226,286,114,172,79,295847214
5812982694,KCa'b'-m_R,,KCa'b'-m,Traced,684,207,347,101,180,74,430418695
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,315,119,168,67,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,338,120,169,85,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,4,1,12,1,384605451
5812982823,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,212,316,126,113,65,396676348
5812982925,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,694,292,362,150,196,122,491654910
5812983112,KCa'b'-m_R,,KCa'b'-m,Traced,647,251,338,150,186,81,411342672
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,306,114,141,73,386511183
5812983451,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,262,300,124,200,114,436809854
5812983544,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,675,237,335,128,153,88,426100093
5812983569,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,559,251,305,138,161,86,392759583
5812983571,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,579,248,310,151,114,66,294590390
5812983645,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,257,395,153,143,82,449532868
5812983646,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,595,256,353,176,131,62,453811862
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,301,115,179,75,415440030
5812983869,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,213,256,79,223,116,436690709
5812983871,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,603,209,320,111,168,77,408605251
5812983898,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,191,304,105,162,75,420362398
5812983899,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,641,216,331,106,169,75,347569779
5812983903,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,554,225,308,110,123,88,444087728
5812984045,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,679,240,319,119,177,94,439989491
5813010617,KCab-p_R,,KCab-p,Traced,675,277,19,4,7,2,391055197
5813019609,KCab-s_R,,KCab-s,Traced,620,266,2,,3,2,318658265
5813019850,CRE048_R,,CRE048,Traced,5674,1107,3,,27,5,2306300526
5813020041,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,613,209,325,122,124,66,434014408
5813020046,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,666,246,325,125,205,104,437866399
5813020047,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,305,138,170,103,437076621
5813020052,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,223,321,112,181,100,437468051
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,285,133,225,104,441233004
5813020061,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,278,356,169,155,80,472995790
5813020271,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,710,232,318,122,213,99,452528827
5813020988,LHMB1_R,,LHMB1,Traced,6859,1312,38,14,795,286,2286240275
5813021033,KCab-p_R,,KCab-p,Traced,804,252,12,3,4,2,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,277,136,167,91,441153613
5813021642,KCa'b'-m_R,,KCa'b'-m,Traced,665,211,288,93,193,83,373756130
5813021645,KCa'b'-m_R,,KCa'b'-m,Traced,672,235,308,127,152,65,394108433
5813021736,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,605,219,290,112,187,86,454869357
5813021748,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,195,326,99,162,80,447453187
5813021766,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,649,240,323,127,178,94,394506432
5813021772,KCa'b'-m_R,,KCa'b'-m,Traced,712,230,346,120,143,69,411808930
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,305,104,155,86,437684352
5813021779,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,700,263,367,145,207,101,457074069
5813021781,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,662,259,318,131,186,106,419729763
5813021786,KCa'b'-m_R,,KCa'b'-m,Traced,718,225,332,108,204,93,428081193
5813021788,KCab-p_R,,KCab-p,Traced,713,247,12,3,2,1,417804388
5813021792,KCa'b'-m_R,,KCa'b'-m,Traced,577,226,251,117,199,94,402507757
5813021799,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,703,254,353,137,194,100,454399393
5813021805,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,704,267,386,160,163,92,478993126
5813021806,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,627,237,343,143,141,79,475435410
5813021808,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,591,274,331,167,137,88,455112693
5813021809,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,276,327,161,174,91,467946092
5813021812,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,594,252,307,154,153,83,464717750
5813021822,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,663,265,372,153,165,91,482821942
5813021832,KCa'b'-m_R,,KCa'b'-m,Traced,655,255,300,112,166,98,405326877
5813021848,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,575,201,282,115,173,79,424646555
5813021856,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,668,254,346,154,150,82,485815034
5813021865,KCg-m_R,,KCg-m,Traced,911,250,15,4,17,9,390695586
5813022037,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,655,236,365,150,134,64,431474709
5813022117,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,215,332,124,177,80,434303309
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,4,,52,1,2864745122
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,443,96,2837,682,5444071374
5813032811,KCa'b'-m_R,,KCa'b'-m,Traced,616,210,311,94,148,82,388570181
5813032868,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,606,223,296,127,186,80,431022127
5813032874,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,585,223,326,120,156,87,455255692
5813032876,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,656,232,349,124,173,91,519684879
5813032887,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,598,197,296,113,139,60,419825635
5813032896,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,689,216,377,117,156,70,404784077
5813032900,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,249,321,126,201,95,435011106
5813032943,KCab-p_R,,KCab-p,Traced,734,252,4,2,8,2,339903729
5813033127,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,243,341,135,161,89,486240013
5813033208,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,704,219,380,107,152,84,435229410
5813035267,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,644,259,319,157,171,85,511057661
5813035612,KCg-m_R,,KCg-m,Traced,859,273,1,,22,11,395394691
5813035613,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,568,252,318,148,106,75,463866310
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,265,120,134,59,427955175
5813047221,KCa'b'-m_R,,KCa'b'-m,Traced,631,224,308,121,148,59,437993906
5813047676,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,567,231,285,123,175,95,418921494
5813047790,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,580,209,321,125,126,73,431318660
5813049834,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,516,228,292,145,123,66,420504766
5813050765,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,702,265,337,142,175,92,452964728
5813055914,KCab-s_R,,KCab-s,Traced,650,235,1,1,3,2,322349102
5813056299,KCa'b'-m_R,,KCa'b'-m,Traced,714,228,322,110,182,85,424133459
5813056300,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,692,271,345,143,202,108,436927867
5813056305,KCa'b'-m_R,,KCa'b'-m,Traced,672,241,324,123,194,96,401460811
5813056307,KCa'b'-m_R,,KCa'b'-m,Traced,641,242,308,107,190,102,441207882
5813056309,KCg-m_R,,KCg-m,Traced,825,283,25,8,6,4,395923682
5813056313,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,653,200,321,102,140,71,403944266
5813056327,KCa'b'-m_R,,KCa'b'-m,Traced,700,236,357,122,192,90,422840976
5813056372,KCa'b'-m_R,,KCa'b'-m,Traced,651,228,281,110,172,83,396399147
5813056390,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,583,234,301,126,174,96,413226879
5813057227,KCa'b'-m_R,,KCa'b'-m,Traced,621,239,283,114,203,101,416212913
5813057239,KCa'b'-m_R,,KCa'b'-m,Traced,724,228,359,103,193,91,405376444
5813057867,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,587,246,349,171,105,67,399817341
5813057942,KCa'b'-m_R,,KCa'b'-m,Traced,759,278,412,162,172,80,450117799
5813058163,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,686,258,323,131,192,110,423518090
5813058215,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,248,341,129,176,92,430406202
5813059951,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,579,240,250,107,169,99,422392882
5813060643,KCab-p_R,,KCab-p,Traced,681,264,7,2,1,1,369871738
5813060774,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,685,266,280,132,230,108,436369804
5813060776,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,652,229,284,121,215,93,333533652
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,12,10,9,10,3486100136
5813061597,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,640,250,342,148,162,85,475789178
5813062565,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,590,257,333,167,146,76,425676562
5813062842,KCa'b'-m_R,,KCa'b'-m,Traced,707,248,359,123,216,100,425529161
5813063140,KCa'b'-m_R,,KCa'b'-m,Traced,581,199,294,101,125,55,391939830
5813063224,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,611,232,314,127,190,78,445344768
5813063229,KCab-s_R,,KCab-s,Traced,685,277,4,,,2,347967311
5813063527,KCa'b'-m_R,,KCa'b'-m,Traced,634,267,300,145,178,90,436486264
5813064427,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,652,297,356,187,135,76,430438345
5813067858,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,593,225,311,124,130,76,440340877
5813068687,KCa'b'-m_R,,KCa'b'-m,Traced,653,228,323,107,195,98,400089032
5813068690,KCa'b'-m_R,,KCa'b'-m,Traced,698,233,315,116,174,79,402291796
5813068692,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,682,233,328,113,217,103,431484345
5813068752,KCa'b'-m_R,,KCa'b'-m,Traced,692,252,318,142,198,89,429764535
5813068984,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,583,252,293,140,149,88,437165853
5813069379,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,616,253,303,138,184,102,422706616
5813069385,KCa'b'-m_R,,KCa'b'-m,Traced,605,229,331,116,129,73,364741205
5813070672,KCg-m_R,,KCg-m,Traced,719,237,21,3,12,5,398858277
5813077579,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,619,235,308,127,214,90,446715176
5813077582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,707,254,349,138,191,99,431316160
5813077583,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,230,337,124,165,82,453604666
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,333,126,194,96,442358082
5813078179,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,628,267,331,129,193,107,438465584
5813078323,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,509,224,276,117,133,89,472655195
5813078499,KCa'b'-m_R,,KCa'b'-m,Traced,634,218,287,94,195,93,373028028
5813078679,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,697,252,364,150,153,81,446899629
5813084505,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,463,222,241,140,127,76,360084803
5813084692,KCg-m_R,,KCg-m,Traced,825,283,1,,39,12,387026360
5813085240,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,232,298,119,191,95,444478363
5813091021,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,574,258,330,158,120,79,416182724
5813091744,KCab-p_R,,KCab-p,Traced,635,285,12,6,3,1,392247819
5813092931,KCab-p_R,,KCab-p,Traced,767,244,24,6,10,5,375350336
5813093111,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,266,298,140,177,106,432015379
5813095018,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,672,243,323,133,182,91,432250715
5813095472,KCa'b'-m_R,,KCa'b'-m,Traced,658,235,291,123,161,79,412868274
5813096260,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,561,238,300,135,136,83,434717676
5813105172,DPM_R,,DPM,Traced,77269,17628,13555,3386,9585,2307,15191654896
5813110459,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,606,264,284,149,153,81,432471519
5813111042,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,501,225,287,131,134,81,388725384
5813112511,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,592,268,349,186,110,64,434542432
5813114700,KCab-p_R,,KCab-p,Traced,746,234,16,1,7,4,347875742
5813114971,KCab-p_R,,KCab-p,Traced,653,258,2,,35,13,368295685
5901213440,CRE011_R,,CRE011,Traced,19674,2149,7,,69,6,5844952800
