id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,b'L(R) #post,b'L(R) #pre,#voxels
1200351169,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,664,250,181,103,339,127,445817696
1200351200,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,595,234,118,68,309,140,350624191
1200683283,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,518,220,119,74,291,132,425677562
1200687913,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,630,238,165,91,308,132,451995760
1200700424,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,642,262,184,102,323,141,454737930
1201028519,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,623,236,51,35,392,162,434693605
1201032707,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,604,239,116,62,314,139,404305308
1202060409,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,651,262,149,88,357,153,450169171
1202673723,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,244,144,75,312,146,432305951
1203709763,KCa'b'-m_R,,KCa'b'-m,Traced,512,234,162,92,245,123,411264180
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,1,,299,141,366409907
1231718414,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,634,246,177,94,327,135,424896625
1231735257,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,589,204,177,88,298,102,424144752
1294465669,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,673,249,161,85,330,143,446959185
1313496027,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,632,273,202,106,262,135,428214535
1327831724,KCa'b'-m_R,,KCa'b'-m,Traced,630,233,121,63,299,113,429239588
1515418525,KCa'b'-m_R,,KCa'b'-m,Traced,556,205,117,55,244,95,407157814
5812980746,SIP087(PDM22)_L,,SIP087,Traced,7549,3221,3,1,10,6,3325948715
5812980938,KCab-p_R,,KCab-p,Traced,693,270,1,,4,2,399456127
5812981068,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,659,260,170,85,317,147,420573073
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,180,86,301,105,385557469
5812981072,KCa'b'-m_R,,KCa'b'-m,Traced,649,226,185,76,322,114,393185864
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,120,64,335,160,447193387
5812981270,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,678,228,197,96,341,111,440624810
5812981274,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,566,235,177,100,260,114,383887653
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,215,126,308,123,487373247
5812981277,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,239,146,90,332,130,474294817
5812981279,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,232,188,95,315,120,449082312
5812981290,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,580,240,165,100,305,122,451840346
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,155,69,243,76,390005539
5812981318,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,644,269,223,119,329,134,427512487
5812981320,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,629,272,164,93,320,161,446321131
5812981322,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,681,228,212,100,336,109,439255704
5812981327,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,754,256,235,97,330,140,438108998
5812981332,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,602,249,154,97,310,136,496581517
5812981333,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,698,228,209,107,339,111,449909211
5812981339,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,634,214,147,65,318,127,426256262
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,97,49,404,186,446538834
5812981341,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,647,231,148,86,344,122,457579684
5812981348,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,618,233,137,66,346,151,441656257
5812981361,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,558,214,159,72,254,122,390359463
5812981373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,604,226,176,88,307,119,433377539
5812981379,KCab-s_R,,KCab-s,Traced,570,236,1,1,2,1,300101280
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,2,,2,2,3349981626
5812981399,KCa'b'-m_R,,KCa'b'-m,Traced,720,216,220,85,316,108,416667601
5812981400,KCa'b'-m_R,,KCa'b'-m,Traced,705,247,179,95,339,121,455420889
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,189,78,303,104,418827569
5812981553,KCa'b'-m_R,,KCa'b'-m,Traced,647,237,182,83,310,125,409831606
5812981563,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,661,224,132,66,356,130,453767469
5812981564,KCa'b'-m_R,,KCa'b'-m,Traced,642,232,146,72,329,122,391061782
5812981569,KCa'b'-m_R,,KCa'b'-m,Traced,617,240,188,108,322,120,412855226
5812981570,KCa'b'-m_R,,KCa'b'-m,Traced,642,249,193,92,312,128,449506766
5812981578,KCa'b'-m_R,,KCa'b'-m,Traced,620,237,200,103,281,98,399710677
5812981581,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,645,213,203,98,313,101,458081929
5812981582,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,688,233,208,86,329,117,413897094
5812981586,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,598,237,135,74,322,136,424512481
5812981590,KCa'b'-m_R,,KCa'b'-m,Traced,622,196,162,84,313,82,404873540
5812981602,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,231,209,94,303,122,417470359
5812981673,KCab-s_R,,KCab-s,Traced,594,236,2,1,,1,319135563
5812981689,KCa'b'-m_R,,KCa'b'-m,Traced,744,219,168,82,396,101,328939713
