id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(L) #post,gL(L) #pre,LAL(L) #post,LAL(L) #pre,#voxels
1450016008,AVLP562(PVL15)_L,,AVLP562,Traced,1058,1169,1,,52,104,1538240069
1453176009,,,,Traced,2400,56,648,14,512,12,1032341298
1504207129,LAL199_R,,LAL199,Traced,458,471,4,,32,46,987660334
1543138040,LAL042(ADM10)_L,,LAL042,Traced,1706,670,17,,421,60,985951206
1576815601,LAL177(PVM03)_L,,LAL177,Traced,857,445,4,,87,8,538993825
1600489166,LAL160(PVM03)_L,CL-LC(c),LAL160,Traced,2056,863,7,,337,70,1046665841
1605181883,LAL008(ADM02)_L,,LAL008,Traced,1754,717,8,,376,61,1138502686
1605518663,AOTU019(ADM10)_L,AoSiLVe-LVeSpIp(c),AOTU019,Traced,3228,2111,16,7,2428,8,6781032290
1605842920,LAL159(PVM03)_L,VeLC-L(c),LAL159,Traced,3109,1107,67,,1361,142,1843324783
1637512099,LAL176(PVM03)_L,,LAL176,Traced,928,454,3,,81,4,830466507
1669255212,LAL161(PVM03)_L,CL-L(c)1,LAL161,Traced,2086,865,8,,378,93,867144227
1699738161,,,,Traced,7,4,2,1,1,2,67282046
1817712927,SMP148_R,,SMP148,Traced,5243,358,1,,228,328,1602010559
5812978941,,,,Traced,238,22,5,,91,9,109645888
5812980743,SMP151(ADM10)_L,,SMP151,Traced,331,572,9,2,24,35,654233320
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,38,2,17,1,3349981626
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,15,2,777,576,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,74,4,1,8,547536751
5812982992,,,,Traced,118,19,1,,46,5,91208350
5812983404,(PDM13)_L,,,Traced,407,116,7,1,36,4,527816845
5812983632,,,,Traced,96,151,5,,47,66,180636188
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,3,,4,1,671097858
5812983755,(MBDLaxon1),,,Traced,158,138,1,,5,6,166525157
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,1,1,92,115,3369272816
5813009885,ATL035(PDM32)_L,,ATL035,Traced,964,332,1,,143,28,1023890880
5813011074,LAL007(ADM01)_L,,LAL007,Traced,679,633,5,,257,75,1535044331
5813012242,,,,Traced,127,63,14,3,3,7,318153795
5813020577,FB4J_L,CRELALFB4_5,FB4J,Traced,1517,293,1,,188,4,578326407
5813021138,CRE044(ADM10)_L,,CRE044,Traced,804,114,27,,124,49,383392454
5813021985,CRE101(PDM27)_L,,CRE101,Traced,572,30,19,,142,2,815726383
5813022199,CRE029_a_R,,CRE029_a,Traced,1027,313,2,6,2,4,775964720
5813022257,CL303_R,,CL303,Traced,3911,1278,7,,134,139,3010762247
5813022337,SMP156(ADM12)_L,,SMP156,Traced,3578,600,55,,337,2,1757920076
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,7,1,6,1,3410455915
5813022419,CRE038_R,,CRE038,Traced,275,132,8,,6,6,360831607
5813022759,CRE059_R,,CRE059,Traced,1452,568,1,,56,45,1127295229
5813022809,FB4F_b_L,CRELALFB4_2,FB4F_b,Traced,1502,329,2,,353,13,602615968
5813022867,,,,Traced,416,88,12,,246,44,217929169
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,82,18,19,57,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,21,3,9,14,903566720
5813032475,(PVL05)_L,,,Traced,223,221,2,,34,31,237190395
5813033000,MBON34(y2)_R,,MBON34,Traced,604,202,78,4,16,30,485802384
5813033033,CRE031_L,,CRE031,Traced,1260,220,7,,58,45,766024070
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,3668,75,80,40,1631233720
5813053846,FB4H_L,CRELALFB4_4,FB4H,Traced,3047,822,2,,251,16,1618714005
5813053847,(PVL05)_L,,,Traced,247,229,3,3,23,30,282691036
5813054659,CRE039_R,,CRE039,Traced,514,125,22,1,89,10,399729943
5813056410,FB4R_L,CREFB4,FB4R,Traced,1131,515,43,,36,5,628946834
5813057033,ATL037(PDM33)_L,,ATL037,Traced,1921,1043,1,,243,21,1555658437
5813057461,AVLP563(PVL15)_L,,AVLP563,Traced,1138,890,29,2,3,15,1021556858
