id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(R) #post,LAL(R) #pre,FB #post,FB #pre,#voxels
1131822592,FB4I_R,LALCREFB4,FB4I,Traced,1868,335,713,16,748,312,1015553194
1131827390,FB4M(PPM3-FB3/4-NO-DAN)_R,CRENO2FB4_2,FB4M,Traced,4431,2614,452,16,2054,2395,2860197903
1131831822,FB3A_R,,FB3A,Traced,2774,451,782,2,1217,352,1522866333
1131831990,FB4E_R,CRELALFB4_1,FB4E,Traced,1067,205,251,1,616,203,422723904
1131840673,FB4R_R,CREFB4,FB4R,Traced,1345,426,33,2,369,332,853725137
1132168616,FB4Q_b_R,CRESMPFB4_5,FB4Q_b,Traced,1871,547,34,,1130,539,859433322
1132168736,FC2A(FQ7)_C4_L,FB1-5CRE,FC2A,Traced,2212,244,1,2,2170,216,461477159
1132526832,FB4F_b_R,CRELALFB4_2,FB4F_b,Traced,1715,297,318,8,833,284,697617700
1133890586,PFGs(PB10)_L5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2149,393,16,2,1903,364,1020071695
1134849078,FC2B(FQ7)_C1_L,FB1d356CRE,FC2B,Traced,2299,170,14,2,2241,124,438632336
1136273393,PFGs(PB10)_L7_C7,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2394,381,17,2,2163,359,592330392
1136865339,ExR2(PPM3-EB-DAN/ring)_L,,ExR2,Traced,1873,1129,168,120,1,1,1198248632
1162529693,FB3A_R,,FB3A,Traced,2547,449,643,3,1223,354,1488371650
1162862710,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1641,352,322,4,859,338,701323334
1162866390,FB3A_L,,FB3A,Traced,1682,474,1,,1192,375,748100151
1162871168,FB4A_R,CRESMPFB4_1,FB4A,Traced,901,102,5,,660,102,270952785
1163898298,FB5V_R,CRELALFB5,FB5V,Traced,1695,274,300,13,525,199,661211274
1164545788,FC2B(FQ7)_C2_L,FB1d356CRE,FC2B,Traced,2870,246,4,2,2808,184,505184719
1164882751,FC2A(FQ7)_C3_L,FB1-5CRE,FC2A,Traced,2339,259,2,2,2290,225,446648494
1166674437,FC2C(FQ7)_C9_L,FB1d367CRE,FC2C,Traced,847,134,7,2,796,100,175162270
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,44,203,2093,6,1481422725
1168283924,FB2G_b_R,SIPLALFB2,FB2G_b,Traced,1412,460,176,1,592,457,1191477333
1168340507,EL(EQ5)_L,EBGAs,EL,Traced,4541,813,164,52,45,3,1175399808
1168603800,FB4Q_b_R,CRESMPFB4_5,FB4Q_b,Traced,1694,468,69,,1082,466,702668915
1168664447,EPGt(PB09)_L9,EPGt,EPGt,Traced,610,167,49,8,28,5,390899085
1168664495,EPG(PB08)_L8,EPG,EPG,Traced,3858,468,131,81,20,2,1000269781
