id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,LAL(R) #post,LAL(R) #pre,#voxels
1045832508,LAL075(AVM07)_L,L-LC(c)2,LAL075,Traced,1095,596,758,13,164,237,760736824
1047676850,CRE008(ADM02)_L,,CRE008,Traced,557,259,63,16,57,16,552011293
1048250312,LAL155_R,,LAL155,Traced,2385,591,26,46,1485,104,1317529596
1049247113,LAL160_R,CL-LC(c),LAL160,Traced,2653,450,409,260,1178,131,959950008
1051311534,LAL176_R,,LAL176,Traced,1060,188,205,156,378,9,541040227
1065410141,EPG(PB08)_L8,EPG,EPG,Traced,3278,406,1,,111,63,836597415
1075062749,AVLP157_R,,AVLP157,Traced,2129,844,4,2,3,1,1640064576
1076168044,,,,Traced,187,282,34,71,44,83,213330499
1076841388,,,,Traced,107,232,32,93,44,84,174454918
1081957306,CRE041_R,CL-L(c)2,CRE041,Traced,9609,533,255,287,4702,112,2917394941
1099808012,IB071(PVM03)_L,,IB071,Traced,393,209,1,1,235,176,326371007
1101094884,LAL006_R,,LAL006,Traced,307,107,31,39,40,64,319576274
1104056135,AVLP575_R,,AVLP575,Traced,1942,777,1,,2,1,1884787209
1108136270,AOTU040_R,,AOTU040,Traced,240,49,40,47,184,1,251080743
1108222244,,,,Traced,145,308,27,85,52,117,230371781
1111757266,LAL155(PVM03)_L,,LAL155,Traced,1444,567,526,56,50,29,1054960124
1112436285,,,,Traced,376,677,139,213,6,18,490334249
1112443807,LAL129(PDM13)_L,,LAL129,Traced,2988,1085,1426,252,27,19,1382344571
1127476096,EPG(PB08)_L8,EPG,EPG,Traced,3300,455,1,,106,70,846890948
1133455474,CL333_R,,CL333,Traced,2675,304,58,198,15,2,2026670082
1137288015,EL(EQ5)_L,EBGAs,EL,Traced,4987,858,6,,214,53,1233512438
1138579549,LAL040_R,VeLC-LVe(c),LAL040,Traced,9571,916,223,260,5708,231,3708849906
1138937616,,,,Traced,95,145,2,1,41,85,167092902
1139265826,LAL075_R,L-LC(c)2,LAL075,Traced,4077,440,93,177,3801,1,1200070323
1143167974,SMP370(PDM08)_L,,SMP370,Traced,301,467,112,217,99,129,606324377
1144756508,,,,Traced,78,523,8,58,19,135,572144725
1144761556,LAL129_R,,LAL129,Traced,4068,1156,124,97,1836,242,1629782018
1160073701,LAL191_R,,LAL191,Traced,941,620,44,100,82,187,1138606987
1167282562,PFL2(PB12b)_R4_C2,PB1-4FB1245LAL,PFL2,Traced,3100,376,48,160,44,203,1481422725
1167300194,ER4d(ring)_R,,ER4d,Traced,2080,588,3,1,,1,1125394909
1169907679,LAL088_R,,LAL088,Traced,767,125,103,106,602,16,444715060
1170352367,LAL008_R,,LAL008,Traced,1897,388,312,195,979,107,1094926658
1170935308,AOTU004_R,,AOTU004,Traced,440,189,69,108,64,60,370783828
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,6,9,22,4,547627159
1200001508,LAL073(AVM07)_L,VeL-LVe(c)2,LAL073,Traced,1087,1237,948,1,51,533,1632152374
1200014419,LAL076(AVM07)_L,L-LC(c)1,LAL076,Traced,1993,794,1827,1,128,619,1085408939
1200053009,PFL2(PB12b)_R5_C1,PB1-4FB1245LAL,PFL2,Traced,3032,399,56,175,73,209,1532312771
1200942398,AOTU037_R,,AOTU037,Traced,663,113,120,110,322,1,475960874
1202677966,,,,Traced,112,224,12,13,59,110,300144230
1222701034,PLP077_L,,PLP077,Traced,241,462,3,,15,22,793877447
1223616241,VES078(PVM09)_L,,VES078,Traced,845,562,1,1,149,327,900592899
1231044615,LAL076_R,L-LC(c)1,LAL076,Traced,4220,709,144,599,4032,2,1394142188
1232038141,LAL123_R,VeLC-LVe(c)3,LAL123,Traced,6473,549,249,210,4147,191,1842453375
1232041867,,,,Traced,84,85,1,1,42,64,79523241
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,52,124,57,89,622234921
1256800488,PVLP144_R,,PVLP144,Traced,356,250,4,2,3,1,610577877
1263404948,,,,Traced,196,379,72,151,85,130,285776211
1284657996,(PVM01)_L,,,Traced,639,207,13,,55,32,350680339
1284702201,IB082(PVM09)_L,,IB082,Traced,568,364,3,,21,21,526966568
1292367728,mALD4_L,,mALD4,Traced,3238,1251,1,,1617,859,2375755009
1294102958,,,,Traced,166,375,59,159,58,117,267430258
1298476253,LAL086_R,AoL-L(c),LAL086,Traced,581,92,70,91,448,1,418017130
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,213,399,4146,316,2323036998
1311125016,LAL158_R,,LAL158,Traced,971,19,1,14,252,2,1000029046
1315529069,LPTC contra1,,,Traced,495,506,3,,15,319,2514171647
1317061703,(PVM09)_L,,,Traced,344,104,1,,157,86,222574272
1322263019,mALC4_L,,mALC4,Traced,498,433,1,,1,1,1365104149
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,4,5,2,1,1148479791
1325133618,LAL045_R,VeL-L(c),LAL045,Traced,3392,1042,145,178,1414,271,1863773445
1325138101,,,,Traced,174,388,79,185,68,145,232769293
1325138112,VES041(AVM21)_L,IbSpVeL-(LIb)(c)Sm(b),VES041,Traced,2482,2486,398,426,709,595,2676458550
1325138116,CRE002_R,,CRE002,Traced,1020,466,110,158,117,146,769437715
1330008281,LAL191(PVM09)_L,,LAL191,Traced,346,530,62,174,40,97,558358802
1331311183,LAL163(PVM03)_L,VeL-LVeC(c),LAL163,Traced,562,536,288,105,167,281,795002234
1348097155,IB082(PVM03)_L,,IB082,Traced,452,166,1,,18,26,288002924
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,5,9,6,11,5492683352
1362674294,VES067(PVM01)_L,,VES067,Traced,534,580,125,23,102,169,1084170295
1375206889,CL309_R,,CL309,Traced,1647,356,3,1,3,3,1448439545
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,43,191,78,234,1437029317
1385433981,AVLP579_R,,AVLP579,Traced,629,299,148,204,6,2,797760873
1392440010,LAL192(PVM09)_L,,LAL192,Traced,623,513,42,135,54,93,623847777
1405992348,PS231_R,,PS231,Traced,1855,440,5,1,3,1,1352005857
1410516394,IB078(PVM03)_L,,IB078,Traced,323,186,1,1,1,2,340875873
1417556867,,,,Traced,122,133,9,15,60,56,141999686
1418829730,AVLP576_R,,AVLP576,Traced,1713,582,4,,2,1,1446386261
1419266727,LAL152_R,,LAL152,Traced,1830,7,3,1,1526,1,957562765
1419927105,,,,Traced,383,484,63,94,157,182,433339040
1436650355,PS233_R,,PS233,Traced,2073,383,3,,904,148,1209229013
1436650486,LAL167_R,,LAL167,Traced,346,113,3,5,277,77,488690568
1436987180,PS232_R,,PS232,Traced,3300,215,11,43,1179,10,1495799448
1436991674,LAL168_R,,LAL168,Traced,518,236,5,1,422,200,634295719
1437302815,,,,Traced,992,2227,1,,1,2,3200826966
1437492175,(PVM03)_L,,,Traced,178,243,16,1,87,141,341921529
1437492192,LAL090_R,L-Lic(c),LAL090,Traced,635,54,22,46,514,4,312375817
1437682098,LAL169_R,,LAL169,Traced,2778,701,115,75,2295,578,1467699526
1437682133,LAL163_R,VeL-LVeC(c),LAL163,Traced,1867,558,183,227,1117,141,997475900
1439754917,(PVM01)_L,,,Traced,164,495,3,,3,7,829839079
1440462757,VES020_R,,VES020,Traced,706,206,4,8,5,4,482604588
1448064992,,,,Traced,95,147,47,78,40,55,142612880
1448065211,,,,Traced,88,250,2,,46,131,299546555
1448065485,,,,Traced,115,206,57,100,56,103,152295170
1448587188,,,,Traced,144,155,46,62,91,93,143772560
1448929584,,,,Traced,72,137,3,1,16,60,131177633
1450016008,AVLP562(PVL15)_L,,AVLP562,Traced,1058,1169,52,104,80,68,1538240069
1465630554,LAL161_R,CL-L(c)1,LAL161,Traced,2216,269,87,62,1143,138,911168646
1467344453,(AVM09)_L,,,Traced,191,111,4,,10,6,187944524
1467685329,PS233_R,,PS233,Traced,1676,325,4,,753,110,1168731033
1467689765,(AVM09)_L,,,Traced,74,144,2,,9,20,401526565
1467966209,LAL157_R,,LAL157,Traced,1440,195,75,166,486,7,1326547190
1468030788,PS087_R,,PS087,Traced,46,16,1,4,17,1,214424726
1469394876,VES071_R,,VES071,Traced,1340,47,1,,218,4,913322521
1469403612,LAL172_R,,LAL172,Traced,1474,91,12,10,1322,28,734889874
1479099705,,,,Traced,113,180,16,34,95,131,162618294
1479281491,LAL196(PVM09)_L,,LAL196,Traced,717,325,201,,498,325,470691300
1479623035,LAL090_R,L-Lic(c),LAL090,Traced,905,100,57,77,776,2,396567968
1479626494,LAL120_R,,LAL120,Traced,7397,243,68,207,6905,9,2086476166
1480226188,,,,Traced,170,309,3,2,4,1,259738203
1480308804,,,,Traced,159,145,47,56,96,78,153338259
1480452227,,,,Traced,177,318,82,170,78,110,209171483
1480653743,LAL121_R,CL-L(c)2,LAL121,Traced,4279,650,147,627,3893,22,1732689236
1480982992,,,,Traced,164,163,50,56,105,93,143628769
