id,instance,notes,type,status,inputs (#post),outputs (#pre),bL(R) #post,bL(R) #pre,a'L(R) #post,a'L(R) #pre,#voxels
5812980931,KCab-s_R,,KCab-s,Traced,673,279,208,109,3,3,312733936
5812980940,KCab-p_R,,KCab-p,Traced,655,260,179,77,1,1,352333297
5812981071,KCa'b'-m_R,,KCa'b'-m,Traced,672,225,7,1,180,86,385557469
5812981164,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,563,245,1,,120,64,447193387
5812981275,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,607,259,3,1,215,126,487373247
5812981308,KCa'b'-m_R,,KCa'b'-m,Traced,571,190,17,5,155,69,390005539
5812981340,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,636,258,2,1,97,49,446538834
5812981379,KCab-s_R,,KCab-s,Traced,570,236,161,89,1,1,300101280
5812981401,KCa'b'-m_R,,KCa'b'-m,Traced,671,203,2,,189,78,418827569
5812981602,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,621,231,1,,209,94,417470359
5812981673,KCab-s_R,,KCab-s,Traced,594,236,168,93,2,1,319135563
5812981680,KCab-p_R,,KCab-p,Traced,734,281,248,96,,1,282267054
5812981796,KCa'b'-m_R,,KCa'b'-m,Traced,665,226,4,1,172,72,478708280
5812981816,KCa'b'-m_R,,KCa'b'-m,Traced,620,214,4,1,139,64,402147766
5812981960,KCa'b'-m_R,,KCa'b'-m,Traced,721,226,3,1,196,71,331043517
5812981978,KCa'b'-m_R,,KCa'b'-m,Traced,574,237,5,1,162,85,405213419
5812982086,KCa'b'-m_R,,KCa'b'-m,Traced,649,253,5,2,168,80,425938168
5812982087,KCa'b'-m_R,,KCa'b'-m,Traced,572,208,1,,120,63,414845645
5812982329,KCa'b'-m_R,,KCa'b'-m,Traced,677,234,7,3,181,72,365482537
5812982397,KCa'b'-m_R,,KCa'b'-m,Traced,603,223,8,4,144,58,419710605
5812982514,KCab-s_R,,KCab-s,Traced,589,237,155,62,1,1,363758686
5812982706,KCa'b'-m_R,,KCa'b'-m,Traced,672,231,13,4,168,67,418473741
5812982725,KCa'b'-m_R,,KCa'b'-m,Traced,635,230,6,1,169,85,409899062
5812982780,KCab-p_R,,KCab-p,Traced,700,235,225,78,12,1,384605451
5812983174,KCa'b'-m_R,,KCa'b'-m,Traced,681,235,12,6,141,73,386511183
5812983455,KCab-m_R,,KCab-m,Traced,518,191,159,56,,1,303273292
5812983837,KCab-p_R,,KCab-p,Traced,745,255,268,86,,1,352020440
5812983866,KCa'b'-m_R,,KCa'b'-m,Traced,596,208,1,,179,75,415440030
5813010617,KCab-p_R,,KCab-p,Traced,675,277,219,90,7,2,391055197
5813019609,KCab-s_R,,KCab-s,Traced,620,266,187,102,3,2,318658265
5813019850,CRE048_R,,CRE048,Traced,5674,1107,3,,27,5,2306300526
5813020057,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,658,256,8,,225,104,441233004
5813020274,KCab-m_R,,KCab-m,Traced,561,219,125,64,1,1,266628780
5813021033,KCab-p_R,,KCab-p,Traced,804,252,284,97,4,2,410859481
5813021174,KCa'b'-m_R,,KCa'b'-m,Traced,605,262,2,,167,91,441153613
5813021301,KCab-s_R,,KCab-s,Traced,565,224,140,68,2,1,323412120
