id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,#voxels
879844133,PFNp_d(PB01a)_L5_C4,PFNp_d,PFNp_d,Traced,122,29,47,24,118494090
879844144,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,196,47,19,27,132372936
879844178,PFNp_d(PB01a)_L5_C4,PFNp_d,PFNp_d,Traced,167,28,55,22,108237111
879844206,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,206,67,29,36,145747740
879844210,PFNp_b(PB01b)_L5_C4,PFNp_b,PFNp_b,Traced,242,67,25,32,151169349
880185131,PFNa(PB03)_L5_C4,PFNa,PFNa,Traced,770,169,59,109,449849872
880202324,vDeltaE_C5,FB123D0FB6v,vDeltaE,Traced,660,101,657,101,272011301
880526177,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,175,44,17,27,130666707
880526292,PFNp_c(PB01c)_L4_C3,PFNp_c,PFNp_c,Traced,493,98,30,57,239556831
880526308,PFNp_d(PB01a)_L_C3_irreg,PFNp_d,PFNp_d,Traced,151,31,94,26,105172050
880526398,PFNp_a(PB01a)_L4_C3,PFNp_a,PFNp_a,Traced,202,49,29,33,130670870
880526454,vDeltaM_C3,FB1vD0FB4,vDeltaM,Traced,139,27,129,27,125453724
880526477,PFNa(PB03)_L4_C3,PFNa,PFNa,Traced,625,112,46,65,330939585
880538997,PFNd(PB04)_L6_C5,,PFNd,Traced,963,203,199,128,387127398
880771722,hDeltaA_03_C3,FB4D5FB4,hDeltaA,Traced,3883,387,3880,387,850882689
880811120,vDeltaA_b_C9,FB1D0FB8,vDeltaA_b,Traced,236,53,236,53,158924968
880875840,PFL2(PB12b)_L5_C9,PB1-4FB1245LAL,PFL2,Traced,2712,398,1748,10,1069803729
880875861,PEG(PB07)_L5,PEG,PEG,Traced,1246,237,3,1,708615708
880875900,PFNm_a(PB02a)_L5_C4,PFNm_a,PFNm_a,Traced,741,122,86,71,300524123
880875927,PFL3(PB12c)_L5_C7,PB1-7FB1245LAL,PFL3,Traced,2110,307,1609,1,707899812
881152299,vDeltaA_b_C8,FB1D0FB8,vDeltaA_b,Traced,452,75,452,75,198076579
881216816,PFNp_a(PB01a)_L5_C4,PFNp_a,PFNp_a,Traced,176,57,18,30,120219840
881220948,FC2B(FQ7)_C5_L,FB1d356CRE,FC2B,Traced,2029,190,1990,145,441988931
881458181,PFL1(PB12a)_R3_C6,PFLC,PFL1,Traced,1288,5,512,2,930498996
881493195,vDeltaH_C8,FB12D0FB5,vDeltaH,Traced,854,127,853,127,287211659
881506038,PFR_b(PB11b)_R1_C1_irreg,,PFR_b,Traced,2133,328,1727,109,789497774
881527223,PFNd(PB04)_L3_C2,PFNd,PFNd,Traced,1355,305,297,211,618600868
881527237,vDeltaJ_C1,FB1D0FB5v,vDeltaJ,Traced,435,62,432,62,173382333
881527404,vDeltaK_C1,FB1vD0FB4d5v,vDeltaK,Traced,433,70,432,69,186652285
881868311,PFNp_a(PB01a)_L2_C1,PFNp_a,PFNp_a,Traced,119,40,15,20,124863001
881889906,FC3(FQ8)_C4_L,FB2356CRE; Tdc2-PB1/2 candidates,FC3,Traced,522,155,514,155,304910800
881898734,PEG(PB07)_L6,PEG,PEG,Traced,1094,236,16,1,720534350
882200934,PFR_a(PB11a)_R1_C1_irreg,,PFR_a,Traced,1797,550,1667,491,575096041
882239837,PFL2(PB12b)_L3_C7,PB1-4FB1245LAL,PFL2,Traced,3466,366,2694,14,1151779323
882533209,PFL1(PB12a)_R1_C2_irreg,PFLC,PFL1,Traced,1547,341,970,7,1432354774
884575336,hDeltaG_12_C7,FB235d6vD3FB6v,hDeltaG,Traced,2975,434,2975,434,1002239231
884916654,FB7L_R,SMPSIPFB7_4,FB7L,Traced,1874,497,1083,489,1187570951
884916660,PFGs(PB10)_R5_C5,PFGs; Tdc2-PB1/2 candidates,PFGs,Traced,2020,413,1862,405,931708485
884921013,FB7I_L,SMPSIPFB76,FB7I,Traced,1939,502,1595,445,621971378
884921015,FC2B(FQ7)_C5_R,FB1d356CRE,FC2B,Traced,1327,138,1284,100,353931933
884921084,FS3(FQ10)_C5_L,FB1d367SMP,FS3,Traced,407,73,364,17,207703048
885253510,hDeltaE_14_C8,FB17D3FB7,hDeltaE,Traced,2111,367,2110,365,782999130
885253534,FC2C(FQ7)_C4_L,FB1d367CRE,FC2C,Traced,1209,131,1165,87,346770605
885257860,FB8C_R,SMPFB8; Tdc2-PB1/2 candidates,FB8C,Traced,1449,290,849,252,1010104009
885257867,hDeltaF_01_C1,FB16d7D2FB67,hDeltaF,Traced,3193,362,3188,358,849653634
