id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,#voxels
1230712894,ER5(ring)_R,,ER5,Traced,866,521,778,513,1055844544
1230712956,ER5(ring)_R,,ER5,Traced,954,528,857,522,1212416596
1230738118,ER5(ring)_L,,ER5,Traced,942,582,881,581,748275083
1230738163,ER3a_c(ring)_L,,ER3a_c,Traced,729,251,714,250,360042168
1230738237,ER5(ring)_R,,ER5,Traced,875,528,772,522,1131747253
1230738247,ER5(ring)_R,,ER5,Traced,998,592,905,582,1212148019
1230742431,ER5(ring)_L,,ER5,Traced,833,549,734,543,664568996
1230742517,ER5(ring)_R,,ER5,Traced,1058,556,957,553,1146386786
1230742552,ER5(ring)_R,,ER5,Traced,937,566,863,562,1191713719
1231066662,ER5(ring)_R,,ER5,Traced,961,610,885,601,1170428657
1231066732,ER5(ring)_R,,ER5,Traced,907,542,802,537,1147679231
1231066741,ER5(ring)_L,,ER5,Traced,908,532,841,530,653116753
1231070792,ER5(ring)_L,,ER5,Traced,802,573,737,571,727012684
1231070863,ER5(ring)_L,,ER5,Traced,922,549,868,547,718636091
1231079482,ER5(ring)_L,,ER5,Traced,990,586,901,586,763300993
1231675708,ER3a_b(ring)_R,,ER3a_b,Traced,855,241,689,240,542446051
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,4,1,1011197699
1259377221,ER6(ring)_L,,ER6,Traced,430,293,429,292,311337622
1259377325,ER6(ring)_L,,ER6,Traced,450,315,445,313,306607875
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,2311,438,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,1276,5,1170924542
1259726857,,,,Orphan,29,2,29,2,1840158
1260046825,,,,Orphan,10,4,10,4,1802515
1260327246,ER3p_b(ring)_R,,ER3p_b,Traced,926,308,805,294,609806834
1260400286,ER3w_a(ring)_R,,ER3w_a,Traced,1027,300,896,296,778456809
1260422110,ER2_b(ring)_L,,ER2_b,Traced,1127,365,1077,363,509412854
1260728198,,,,Orphan,10,1,10,1,285582
1260754053,ER3w_a(ring)_R,,ER3w_a,Traced,1010,312,912,311,805523804
1260758609,,,,Orphan,16,6,16,6,3743820
1260828727,ER3p_a(ring)_L,,ER3p_a,Traced,825,284,738,281,467398570
1261000309,ER4d(ring)_R,,ER4d,Traced,2133,571,2006,557,1276005185
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1985,573,720375603
1261082560,ER3d_c(ring)_L,,ER3d_c,Traced,1244,310,1124,300,489057745
1261086734,ER3d_a(ring)_R,,ER3d_a,Traced,1344,357,1195,344,721497443
1261086755,ER3d_a(ring)_L,,ER3d_a,Traced,1256,317,1161,307,478005108
1261086756,ER3d_a(ring)_R,,ER3d_a,Traced,1281,358,1154,341,682688537
1261086823,ER3d_c(ring)_L,,ER3d_c,Traced,1184,324,1100,318,463812051
1261086863,ER3d_a(ring)_L,,ER3d_a,Traced,1224,371,1198,358,485081929
1261091124,ER3d_a(ring)_L,,ER3d_a,Traced,1180,361,1082,352,538435456
1261091157,ER3d_c(ring)_L,,ER3d_c,Traced,1167,314,1049,307,448559244
1261091174,ER3d_a(ring)_L,,ER3d_a,Traced,1209,343,1127,334,480597935
1261169514,ER3p_a(ring)_L,,ER3p_a,Traced,888,319,800,313,456720664
1261419142,ER3d_c(ring)_R,,ER3d_c,Traced,1195,320,1062,307,682692254
1261423370,ER3d_a(ring)_R,,ER3d_a,Traced,1237,341,1146,335,723126157
1261423444,ER3d_c(ring)_R,,ER3d_c,Traced,1241,366,1107,352,713799155
1261423454,ER3d_c(ring)_R,,ER3d_c,Traced,1310,343,1148,336,727214630
1261423480,ER3d_c(ring)_L,,ER3d_c,Traced,1117,306,1053,302,436452058
1261423507,ER3d_c(ring)_R,,ER3d_c,Traced,1160,318,1009,308,635382116
1261423534,ER3d_d(ring)_R,,ER3d_d,Traced,1187,317,1062,308,648201843
1261427765,ER3d_c(ring)_R,,ER3d_c,Traced,1252,324,1116,315,741793195
1261427857,ER3d_a(ring)_L,,ER3d_a,Traced,1229,362,1139,346,507377955
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,885,268,596231811
1261427892,ER3d_d(ring)_L,,ER3d_d,Traced,1052,302,966,296,421064856
1261427999,ER3d_d(ring)_L,,ER3d_d,Traced,1016,281,943,275,427621763
1261432052,ER3d_d(ring)_L,,ER3d_d,Traced,1072,308,985,303,408158416
1261432076,ER3d_b(ring)_L,,ER3d_b,Traced,1092,294,973,287,395209851
1261432158,ER3d_b(ring)_R,,ER3d_b,Traced,997,301,878,283,572586665
1261432159,ER3d_b(ring)_L,,ER3d_b,Traced,1103,294,999,284,413438615
1261432168,ER3d_d(ring)_R,,ER3d_d,Traced,1088,328,945,307,591625826
1261436305,ER3d_c(ring)_R,,ER3d_c,Traced,1314,371,1191,357,734713327
1261436508,ER3d_a(ring)_R,,ER3d_a,Traced,1308,366,1179,349,680933989
1261751722,ER5(ring)_L,,ER5,Traced,921,595,843,592,698507725
1261756007,ER3d_a(ring)_R,,ER3d_a,Traced,1246,355,1100,337,699809561
1261760187,ER3d_c(ring)_R,,ER3d_c,Traced,1163,321,989,310,690086716
1261760225,ER3a_a(ring)_L,,ER3a_a,Traced,655,180,647,180,256916591
1261760230,ER3a_b(ring)_L,,ER3a_b,Traced,583,258,567,254,311578782
1261760366,ER3a_a(ring)_L,,ER3a_a,Traced,908,214,889,207,331395254
1261760414,ER3a_d(ring)_R,,ER3a_d,Traced,764,246,644,225,472529807
1261760448,ER3a_a(ring)_L,,ER3a_a,Traced,804,203,793,201,354989012
1261760489,ER3a_d(ring)_L,,ER3a_d,Traced,738,230,727,226,279991991
1261764527,ER3a_a(ring)_L,,ER3a_a,Traced,583,198,570,196,256115613
1261764557,ER3a_a(ring)_L,,ER3a_a,Traced,828,213,818,200,307532763
1261764651,ER3m(ring)_L,,ER3m,Traced,863,236,829,225,375382737
1261768644,ER3a_c(ring)_R,,ER3a_c,Traced,995,277,851,272,603498874
1261768832,ER3a_c(ring)_L,,ER3a_c,Traced,646,231,629,229,320408028
1261768859,ER3d_b(ring)_R,,ER3d_b,Traced,1110,314,962,299,624560735
1261768880,ER3d_b(ring)_R,,ER3d_b,Traced,1151,314,978,310,568507214
1261768913,ER3m(ring)_R,,ER3m,Traced,1078,362,1007,345,633547676
1261772956,ER3a_b(ring)_R,,ER3a_b,Traced,619,234,485,233,502015903
1261773006,ER3a_b(ring)_L,,ER3a_b,Traced,585,259,569,253,306382934
1261773104,ER3a_d(ring)_L,,ER3a_d,Traced,650,242,632,240,275406332
1261773286,ER3a_d(ring)_R,,ER3a_d,Traced,752,248,641,239,462734560
1261773304,ER3d_d(ring)_R,,ER3d_d,Traced,1134,300,1003,296,657613914
1261773330,ER3a_d(ring)_L,,ER3a_d,Traced,568,207,555,206,243092623
1261773414,ER3d_b(ring)_R,,ER3d_b,Traced,1051,319,911,305,609683025
1262101350,ER3a_d(ring)_R,,ER3a_d,Traced,798,258,675,248,494934893
1262105552,ER3m(ring)_L,,ER3m,Traced,866,240,860,233,381132460
1262105575,ER3a_a(ring)_R,,ER3a_a,Traced,762,195,650,190,457061603
1262105601,ER3a_a(ring)_L,,ER3a_a,Traced,666,232,658,221,304896212
1262105630,ER3m(ring)_R,,ER3m,Traced,949,246,873,234,590452474
1262105637,ER3m(ring)_R,,ER3m,Traced,923,255,838,242,614666631
1262114112,ER3a_a(ring)_R,,ER3a_a,Traced,844,220,783,213,477846056
1262114188,ER3m(ring)_R,,ER3m,Traced,1174,293,1042,278,671179407
1262114202,ER3m(ring)_R,,ER3m,Traced,967,228,850,220,543244374
1290740582,,,,Orphan,82,15,82,15,12315460
1290740646,,,,Orphan,27,14,27,14,10818645
1290770751,,,,Orphan,13,5,13,5,2363048
1291081248,,,,Orphan,5,3,5,3,668012
1291094620,ER1_b(ring)_R,,ER1_b,Traced,771,240,599,225,512738543
1291094742,ER1_b(ring)_L,,ER1_b,Traced,571,233,567,231,276237954
1291099014,ER1_b(ring)_R,,ER1_b,Traced,796,211,544,200,484445372
1291103485,ER1_a(ring)_L,,ER1_a,Traced,368,189,364,186,224377538
1291107674,,,,Orphan,9,4,9,4,4148924
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,892,313,661036009
