id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(L) #post,aL(L) #pre,a'L(L) #post,a'L(L) #pre,#voxels
456302927,,,,Traced,43,20,7,1,29,16,25208234
456303359,,,,Traced,47,21,46,20,1,1,17135414
456311730,,,,Traced,93,54,8,2,83,51,36591698
456648216,,,,Traced,371,33,344,31,27,2,35142557
456648380,,,,Traced,30,15,1,1,26,13,19333097
456648435,,,,Traced,13,4,9,2,4,2,4657183
456653004,,,,Traced,74,31,9,3,63,27,25765310
458016904,,,,Traced,30,18,2,2,26,15,15253611
458016957,,,,Traced,97,37,9,2,84,34,45770694
458016988,,,,Traced,20,12,20,11,,1,9772436
486997200,,,,Traced,129,16,12,3,109,13,19402594
487001639,,,,Traced,287,48,10,,242,44,45610606
487002058,,,,Traced,113,48,2,,111,48,32096389
487006268,,,,Traced,89,10,10,2,63,7,13833013
487006336,,,,Traced,9,4,3,1,6,2,5572031
487334232,,,,Traced,44,27,4,4,36,21,28125352
487334439,,,,Traced,95,12,2,,75,11,15733999
487334519,,,,Traced,99,46,6,1,88,40,38143710
487342501,,,,Traced,77,35,5,3,72,32,26566442
487346341,,,,Traced,112,51,4,2,105,48,37068907
487674743,,,,Traced,40,19,6,3,31,14,25399972
487683639,,,,Traced,42,20,37,18,,1,17301759
488710636,,,,Traced,42,14,41,12,1,2,9692976
489043331,,,,Traced,12,6,10,5,2,1,8601368
489051750,,,,Traced,58,25,7,5,24,6,21140412
489051772,,,,Traced,52,32,3,1,18,9,25148698
489051866,,,,Traced,71,40,6,2,18,11,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,131,51,3,2,1964048244
518035986,,,,Traced,116,52,5,2,110,49,34409566
518037253,,,,Traced,87,41,2,,80,37,32700885
518041123,,,,Traced,141,2,20,,114,2,16850342
518372762,,,,Traced,62,45,2,4,59,38,29851988
518372893,,,,Traced,78,31,11,4,59,23,30823571
518377314,,,,Traced,79,45,13,4,66,41,36149502
518381399,,,,Traced,76,43,6,4,70,39,33100048
518381401,,,,Traced,92,37,5,1,84,36,29460905
518381569,,,,Traced,67,41,1,1,61,35,34482868
518718352,,,,Traced,75,26,8,1,65,24,37084305
518722309,,,,Traced,34,15,3,1,31,14,8462296
519063474,,,,Traced,4,3,2,2,2,1,5376411
519745542,,,,Traced,40,23,5,4,14,7,17163439
519745630,,,,Traced,38,27,5,3,11,11,22739680
520082378,,,,Traced,58,28,55,27,3,1,18392967
520086403,,,,Traced,124,17,24,1,58,11,16079050
549071475,,,,Traced,83,39,5,4,76,33,40001247
549071893,,,,Traced,50,23,2,3,46,20,20342722
549407664,,,,Traced,65,45,5,2,59,42,29922554
549416456,,,,Traced,87,47,2,1,82,43,40462014
549416536,,,,Traced,79,32,4,3,73,28,28440633
549748710,,,,Traced,74,38,10,4,62,32,31955064
549757545,,,,Traced,105,15,5,1,96,12,19576855
549757576,,,,Traced,23,2,3,,20,2,2968621
549757585,,,,Traced,18,13,1,,17,13,5996614
550098698,,,,Traced,93,50,11,7,82,43,37141134
550439233,,,,Traced,7,3,4,2,3,1,6212270
550439476,,,,Traced,39,30,4,,23,18,31686318
550780387,,,,Traced,43,18,1,3,24,8,20401054
550780613,,,,Traced,28,20,1,2,9,7,19993844
550780642,,,,Traced,35,28,5,2,15,9,20922223
551121526,,,,Traced,35,16,10,4,25,12,17918551
580106415,,,,Traced,123,10,13,,72,1,25170373
580106818,,,,Traced,74,44,2,1,66,32,35518793
580106851,,,,Traced,88,42,8,3,79,39,31320840
580110259,,,,Traced,89,49,3,2,85,44,36381522
580446796,,,,Traced,85,42,2,1,79,37,32839240
580446942,,,,Traced,95,40,1,,93,40,33722224
580787798,,,,Traced,90,37,10,1,79,35,28165167
580787866,,,,Traced,77,36,5,1,72,34,28795212
580787883,,,,Traced,319,69,33,10,277,54,54087378
580788097,,,,Traced,22,2,1,,21,2,2361449
580788391,,,,Traced,107,48,8,2,99,46,34035470
580788416,,,,Traced,55,30,2,4,51,25,24034168
581133204,,,,Traced,66,25,11,6,52,18,26288782
581133446,,,,Traced,47,28,9,6,38,22,16082411
581474206,,,,Traced,5,3,1,,4,3,3510322
581474376,,,,Traced,53,25,5,3,42,21,23586615
581815284,,,,Traced,40,22,1,1,22,13,20637660
581815473,,,,Traced,54,28,7,1,38,22,27094384
581815589,,,,Traced,75,28,3,2,60,23,24112346
611477412,,,,Traced,59,38,3,3,51,33,32231482
611827043,,,,Traced,271,42,6,1,252,41,42011879
612168068,,,,Traced,85,49,1,6,84,43,32254462
612509328,,,,Traced,10,2,5,1,5,1,3928703
612850111,,,,Traced,34,29,3,,30,27,18051662
612850115,,,,Traced,47,25,3,2,39,23,18885995
612850256,,,,Traced,46,23,1,1,33,19,15921901
612850268,,,,Traced,49,21,1,,39,17,25491491
612850380,,,,Traced,60,23,2,,27,14,21401675
613191410,,,,Traced,34,15,1,1,28,11,18129553
642516892,PPL105(a'2a2)(PDL05)_L,,PPL105,Traced,4363,1434,438,96,372,121,1095641228
642520988,,,,Traced,190,26,2,,155,22,25056858
642702809,CRE050_R,not yet identified MBON candidates,CRE050,Traced,4620,620,2,,14,1,2023774583
642862339,,,,Traced,61,32,3,1,58,31,25272568
643544003,,,,Traced,46,23,2,,44,23,16578793
643885095,,,,Traced,243,38,22,,192,37,34844282
643885103,,,,Traced,38,16,3,,29,11,17848317
643885285,,,,Traced,37,21,2,,35,21,17953518
643885386,,,,Traced,73,38,5,4,68,34,27976972
643885450,,,,Traced,34,22,1,1,33,21,13658265
644226182,,,,Traced,48,26,3,4,18,9,21048631
644226282,,,,Traced,40,16,3,,34,15,18583633
644226334,,,,Traced,24,12,2,,19,10,13227326
644226341,,,,Traced,47,19,4,1,25,13,18832030
673892838,,,,Traced,78,39,13,9,65,30,31069427
673892990,,,,Traced,93,46,3,2,87,43,33655280
673893063,,,,Traced,29,16,7,3,22,13,11042181
674229949,,,,Traced,66,40,8,8,56,32,30174102
674570925,,,,Traced,77,35,2,1,71,32,31633814
674920005,,,,Traced,52,32,2,1,50,31,16899825
674920019,,,,Traced,33,18,3,3,30,15,14475357
674920180,,,,Traced,41,25,2,1,39,24,16686849
675261072,,,,Traced,34,17,2,1,27,16,15154240
675261080,,,,Traced,32,11,1,,26,10,18329251
675261180,,,,Traced,51,7,7,1,43,6,7099439
704927430,,,,Traced,95,40,10,3,82,36,33832031
704932037,,,,Traced,601,161,520,129,69,28,84296659
705264340,,,,Traced,63,38,2,1,59,35,32128978
705605536,,,,Traced,84,42,3,1,81,41,27957218
706287739,,,,Traced,45,35,1,2,34,26,32124162
706288050,,,,Traced,45,29,5,5,33,18,23382946
706291625,,,,Traced,45,24,2,,43,23,18123021
706295942,,,,Traced,56,28,1,1,55,27,19955025
706296108,,,,Traced,18,7,11,4,7,3,6315684
706296132,,,,Traced,18,10,1,,17,10,12558846
