id,instance,notes,type,status,inputs (#post),outputs (#pre),LAL(L) #post,LAL(L) #pre,FB #post,FB #pre,#voxels
1381484065,PFL2(PB12b)_L2_C6,PB1-4FB1245LAL,PFL2,Traced,2912,435,43,191,2226,8,1437029317
5812983636,FB5C_L,SMPCREFB5_1,FB5C,Traced,2525,587,4,1,1823,435,671097858
5812983764,PFR_a(PB11a)_R4_C6,PFR_a,PFR_a,Traced,1416,415,1,,1336,407,471231362
5813014693,FB5G_L,SMPSIPFB56,FB5G,Traced,1313,454,5,,653,401,623449671
5813016287,FC2B(FQ7)_C8_R,FB1d356CRE,FC2B,Traced,1574,176,3,,1531,127,373899070
5813020577,FB4J_L,CRELALFB4_5,FB4J,Traced,1517,293,188,4,931,281,578326407
5813022809,FB4F_b_L,CRELALFB4_2,FB4F_b,Traced,1502,329,353,13,841,309,602615968
5813022949,FB5L_L,CRESMPFB5_4,FB5L,Traced,2537,769,33,6,1950,725,1173703683
5813033535,FC2B(FQ7)_C9_R,FB1d356CRE,FC2B,Traced,2127,199,1,,2087,150,412650181
5813041796,FB4X_L,CRESIPFB45,FB4X,Traced,3822,1149,32,,2693,1138,1452721843
5813053846,FB4H_L,CRELALFB4_4,FB4H,Traced,3047,822,251,16,1913,736,1618714005
5813056410,FB4R_L,CREFB4,FB4R,Traced,1131,515,36,5,484,433,628946834
5813057738,FB5X_L,SMPCREFB5_8,FB5X,Traced,1413,423,19,1,656,399,539798191
5813058422,FB4N_L,SMPCREFB4,FB4N,Traced,5227,781,32,,4014,776,1359747999
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,14,8,3071,1745,3486100136
5813061541,FB4G_L,CRELALFB4_3,FB4G,Traced,3677,710,434,49,2216,551,1329389740
5813062592,FB5V_L,CRELALFB5,FB5V,Traced,1120,267,185,19,414,188,425597565
5813071255,FB4D_L,CRESMPFB4_2,FB4D,Traced,1248,349,21,1,951,323,571000082
5813076043,FB5D_L,CRESMPFB5_1,FB5D,Traced,2573,551,37,1,1737,446,695440646
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,12,,1032,295,519936683
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,3,,1372,249,600756468
