id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,aL(L) #post,aL(L) #pre,#voxels
488710790,,,,Traced,17,7,1,,16,7,8168590
489043331,,,,Traced,12,6,2,1,10,5,8601368
489051750,,,,Traced,58,25,24,6,7,5,21140412
489051772,,,,Traced,52,32,18,9,3,1,25148698
489051866,,,,Traced,71,40,18,11,6,2,32974410
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,3,2,131,51,1964048244
518035986,,,,Traced,116,52,110,49,5,2,34409566
518372762,,,,Traced,62,45,59,38,2,4,29851988
518372893,,,,Traced,78,31,59,23,11,4,30823571
518377314,,,,Traced,79,45,66,41,13,4,36149502
518381399,,,,Traced,76,43,70,39,6,4,33100048
518381401,,,,Traced,92,37,84,36,5,1,29460905
518381569,,,,Traced,67,41,61,35,1,1,34482868
518718352,,,,Traced,75,26,65,24,8,1,37084305
518722309,,,,Traced,34,15,31,14,3,1,8462296
519063474,,,,Traced,4,3,2,1,2,2,5376411
519745542,,,,Traced,40,23,14,7,5,4,17163439
519745630,,,,Traced,38,27,11,11,5,3,22739680
520082378,,,,Traced,58,28,3,1,55,27,18392967
520086403,,,,Traced,124,17,58,11,24,1,16079050
549071475,,,,Traced,83,39,76,33,5,4,40001247
549071893,,,,Traced,50,23,46,20,2,3,20342722
549407664,,,,Traced,65,45,59,42,5,2,29922554
549416456,,,,Traced,87,47,82,43,2,1,40462014
549416536,,,,Traced,79,32,73,28,4,3,28440633
549748710,,,,Traced,74,38,62,32,10,4,31955064
549757545,,,,Traced,105,15,96,12,5,1,19576855
550098698,,,,Traced,93,50,82,43,11,7,37141134
550439233,,,,Traced,7,3,3,1,4,2,6212270
550780387,,,,Traced,43,18,24,8,1,3,20401054
550780613,,,,Traced,28,20,9,7,1,2,19993844
550780642,,,,Traced,35,28,15,9,5,2,20922223
551121526,,,,Traced,35,16,25,12,10,4,17918551
580106818,,,,Traced,74,44,66,32,2,1,35518793
580106851,,,,Traced,88,42,79,39,8,3,31320840
580110259,,,,Traced,89,49,85,44,3,2,36381522
580446796,,,,Traced,85,42,79,37,2,1,32839240
580787798,,,,Traced,90,37,79,35,10,1,28165167
580787866,,,,Traced,77,36,72,34,5,1,28795212
580787883,,,,Traced,319,69,277,54,33,10,54087378
580788391,,,,Traced,107,48,99,46,8,2,34035470
580788416,,,,Traced,55,30,51,25,2,4,24034168
581133204,,,,Traced,66,25,52,18,11,6,26288782
581133446,,,,Traced,47,28,38,22,9,6,16082411
581474376,,,,Traced,53,25,42,21,5,3,23586615
