id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,FB #post,FB #pre,#voxels
5813058338,FB8D_L,SLPSMPFB8_2,FB8D,Traced,778,144,3,2,517,129,258125378
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,25,31,622,485,1931391198
5813061177,FB6A_L,SMPSIPFB6_1,FB6A,Traced,5272,1876,24,5,4412,1681,3071974108
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,5,2,3071,1745,3486100136
5813061495,FB6A_R,SMPSIPFB6_1,FB6A,Traced,6929,1983,18,8,5137,1776,4158417564
5813069498,FB8F_b_R,SIPSLPFB8,FB8F_b,Traced,1328,182,2,,165,60,510670323
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,149,197,191,40,1770276774
5813082481,SA2_b_cont_L,SlpA,SA2_b,Traced,335,106,1,,2,2,116544297
5813088458,FB6R_L,SMPSIPFB6_7,FB6R,Traced,720,216,1,,602,216,529713135
5813088939,FB6P_L,SMPCREFB6_1,FB6P,Traced,1862,285,4,,1372,249,600756468
5813127603,FB6M_L,WEDLALFB6,FB6M,Traced,723,306,2,,521,157,848460740
