id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(L) #post,BU(L) #pre,#voxels
5813041320,,,,Traced,61,107,3,2,127938819
5813045050,ER3w_b(ring)_L,,ER3w_b,Traced,902,296,82,4,460800179
5813049824,FB6E_R,SIPSMPFB6_2,FB6E,Traced,2796,1326,2,1,2124316709
5813058338,FB8D_L,SLPSMPFB8_2,FB8D,Traced,778,144,3,2,258125378
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,25,31,1931391198
5813061177,FB6A_L,SMPSIPFB6_1,FB6A,Traced,5272,1876,24,5,3071974108
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,5,2,3486100136
5813061495,FB6A_R,SMPSIPFB6_1,FB6A,Traced,6929,1983,18,8,4158417564
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,149,197,1770276774
5813080272,ER3d_d(ring)_L,,ER3d_d,Traced,1216,325,97,2,460745975
