id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,#voxels
601725569,KCg-d_R,,KCg-d,Traced,562,227,290,152,333188141
602118253,KCg-m_R,,KCg-m,Traced,862,247,521,185,389318347
602459169,KCg-m_R,,KCg-m,Traced,748,238,449,178,379512073
602459213,KCg-m_R,,KCg-m,Traced,755,246,455,193,399181449
602459682,KCg-m_R,,KCg-m,Traced,784,228,443,176,338151440
602476655,LHPV9b1_R,,LHPV9b1,Traced,2853,696,46,32,2622607123
602809029,KCg-m_R,,KCg-m,Traced,672,204,393,173,367483351
610312734,CRE023_R,,CRE023,Traced,3901,1023,49,5,2864705468
610731053,CRE027_R,,CRE027,Traced,1623,294,23,6,1208551353
611037750,SMP122_L,,SMP122,Traced,1698,366,14,9,978837966
611300533,KCa'b'-m_R,,KCa'b'-m,Traced,598,260,4,3,427745414
611305085,KCa'b'-m_R,,KCa'b'-m,Traced,667,246,10,8,406286707
611323175,mALB1_L,,mALB1,Traced,3606,1903,4,1,3507551623
611693656,SMP164_R,,SMP164,Traced,2493,804,9,11,2344057409
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,11,5,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,2,1,405985069
612371421,MBON01(y5B'2a)_R,,MBON01,Traced,32544,2208,25325,10,6839504360
612414168,CRE029_a_L,,CRE029_a,Traced,1164,295,20,22,791330474
612440702,PAM01_b(y5)_L,,PAM01_b,Traced,695,152,119,27,243491946
612638791,PAM04_a(B2)_R,,PAM04_a,Traced,608,136,2,3,261596710
612738462,MBON03(B'2mp)_L,,MBON03,Traced,17488,1374,22,6,4377863012
612742248,MBON25(y1y2)_L,,MBON25,Traced,1427,232,1010,49,665934503
612746670,CRE026_L,,CRE026,Traced,860,218,5,2,799068563
612755343,CRE023_L,,CRE023,Traced,2297,801,24,1,2214780944
613040803,CRE049_R,,CRE049,Traced,2229,750,19,9,1511757943
613044611,SMP075_R,,SMP075,Traced,2408,458,97,1,1142572517
