id,instance,notes,type,status,inputs (#post),outputs (#pre),b'L(L) #post,b'L(L) #pre,#voxels
5813021261,PAM11(a1)_L,,PAM11,Traced,395,160,11,3,248528210
5813021778,KCa'b'-m_R,,KCa'b'-m,Traced,597,227,32,12,437684352
5813021828,,,,Traced,281,100,281,100,94521849
5813021829,,,,Traced,311,122,310,122,97797681
5813021842,,,,Traced,318,151,318,150,105367325
5813021844,PAM08_c(y4)_L,,PAM08_c,Traced,1573,280,10,7,241663552
5813022201,PAM06_a(B'2m)_R,,PAM06_a,Traced,1403,306,284,100,397327304
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,13,21,2864745122
5813022341,MBON02(B2B'2a)_L,,MBON02,Traced,17937,99,806,4,3410455915
5813022424,PPL103(y2a'1)_R,,PPL103,Traced,15227,3375,61,13,5444071374
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,3,5,3288021127
5813027518,PAM15_b(y5B'2a)_L,,PAM15_b,Traced,1273,158,267,29,240799955
5813031268,,,,Traced,293,130,291,129,98725182
5813032504,,,,Traced,345,127,337,120,115199503
5813032508,,,,Traced,319,121,314,118,96391758
5813032512,,,,Traced,292,98,292,98,96704176
5813032514,,,,Traced,288,117,288,117,100650693
5813032573,,,,Traced,544,98,535,96,61328660
5813032593,,,,Traced,180,53,174,52,68630842
5813032813,PAM13(B'1ap)_L,,PAM13,Traced,680,241,245,100,279564061
5813032997,PAM02(B'2a)_L,,PAM02,Traced,1282,155,679,63,281021176
5813033215,PAM01_a(y5)_L,,PAM01_a,Traced,1079,170,74,25,288587422
5813033312,,,,Traced,283,104,276,102,103958918
5813033314,,,,Traced,297,146,297,146,111287235
5813033317,,,,Traced,374,140,374,139,114168637
5813035387,,,,Traced,127,112,14,9,109567886
5813038111,,,,Traced,12,8,2,2,8600629
5813040205,MBON30(y1y2y3)(AVM07)_L,,MBON30,Traced,5829,1215,23,1,1631233720
5813040941,PAM02(B'2a)_L,,PAM02,Traced,1132,136,432,52,231301005
5813042659,MBON22(calyx)_R,,MBON22,Traced,14118,810,24,15,3046434158
5813045006,,,,Traced,366,135,14,6,94168751
5813047220,KCa'b'-m_R,,KCa'b'-m,Traced,683,245,96,32,427955175
5813047783,,,,Traced,305,169,305,168,109638641
5813047784,PAM05(B'2p)_L,,PAM05,Traced,420,225,236,120,211723090
5813048214,PAM06_b(B'2m)_L,,PAM06_b,Traced,673,113,397,62,182935102
5813048900,,,,Traced,317,133,317,133,105253552
5813049097,,,,Traced,336,153,333,153,104520155
5813049821,,,,Traced,695,167,694,166,85679821
5813052909,MBON29(y4y5)(PVL06)_L,,MBON29,Traced,5270,755,17,2,1673885779
5813056180,,,,Traced,278,99,274,97,101246071
5813056205,,,,Traced,257,103,257,103,92132304
5813057033,ATL037(PDM33)_L,,ATL037,Traced,1921,1043,1,1,1555658437
5813057132,,,,Traced,304,105,304,105,94850241
5813060737,,,,Traced,418,157,416,157,127479254
5813061260,OA-VPM3(NO2/NO3)_L,,OA-VPM3,Traced,5122,4069,48,36,3486100136
5813061512,MBON06(B1>a)_R,,MBON06,Traced,12107,496,181,14,2038784377
5813061879,PAM14(B'1m)_R,,PAM14,Traced,636,225,93,51,338596004
5813062604,,,,Traced,145,62,5,4,40821962
5813063280,PAM06_a(B'2m)_R,,PAM06_a,Traced,1358,335,307,145,467187303
5813064323,,,,Traced,270,105,265,104,84988495
5813065587,,,,Traced,527,96,495,91,56885098
5813067708,,,,Traced,276,76,276,76,77821486
5813068698,,,,Traced,307,152,306,152,109303931
5813068700,,,,Traced,370,164,370,163,131839573
5813069965,PAM05(B'2p)_L,,PAM05,Traced,1498,325,910,220,378509855
5813069977,PAM08_c(y4)_L,,PAM08_c,Traced,1536,294,97,24,332652814
5813075202,,,,Traced,218,72,218,72,77111795
5813075824,PAM09(B1ped)_R,,PAM09,Traced,1685,293,12,3,547363626
5813078064,KCa'b'-m_R,,KCa'b'-m,Traced,764,264,37,14,442358082
5813082654,,,,Traced,238,99,3,2,69394165
5813087625,,,,Traced,951,208,5,7,126240451
5813088712,FB4D_L,CRESMPFB4_2,FB4D,Traced,1404,318,6,6,519936683
5813090947,PAM06_a(B'2m)_L,,PAM06_a,Traced,841,352,427,203,376448291
5813090976,,,,Traced,258,77,253,77,83253037
5813091420,PAM05(B'2p)_L,,PAM05,Traced,776,320,366,170,260282398
5813091744,KCab-p_R,,KCab-p,Traced,635,285,8,2,392247819
5813091758,PAM06_a(B'2m)_L,,PAM06_a,Traced,1097,361,568,208,369489017
5813093171,PAM04_a(B2)_L,,PAM04_a,Traced,1960,329,18,2,324522133
5813095749,,,,Traced,348,170,344,167,104493127
