id,instance,notes,type,status,inputs (#post),outputs (#pre),FB #post,FB #pre,NO #post,NO #pre,#voxels
1410450694,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,186,47,18,22,116,23,144402524
1410450859,PFNp_a(PB01a)_R6_C5,PFNp_a,PFNp_a,Traced,202,41,12,19,111,22,128311617
1410450949,PFNm_a(PB02a)_R6_C5,PFNm_a,PFNm_a,Traced,586,108,36,64,412,44,263849323
1410451120,PFNp_c(PB01c)_R6_C5,PFNp_c,PFNp_c,Traced,429,82,21,44,271,37,206071298
1410451151,PFNp_b(PB01b)_R6_C5,PFNp_b,PFNp_b,Traced,176,43,18,24,90,19,133385361
1410472719,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,422,81,32,49,305,32,202552831
1410801066,PFNp_d(PB01a)_R5_C6,PFNp_d,PFNp_d,Traced,159,33,68,29,75,4,120213107
1410813978,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,141,38,20,19,98,19,113474514
1411862814,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,542,110,39,73,257,37,297901324
1412164346,PFNm_b(PB02b)_L5_C4,PFNm_b,PFNm_b,Traced,470,122,132,82,183,38,269470639
1412238418,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,499,122,36,80,279,40,293819301
1441144493,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,420,80,24,42,256,38,220073717
1441481281,PFNm_a(PB02a)_R4_C7,PFNm_a,PFNm_a,Traced,628,111,57,62,391,49,272518264
1441485388,PFNp_a(PB01a)_R4_C7,PFNp_a,PFNp_a,Traced,186,44,25,25,81,19,126265270
1441485464,PFNp_e(PB01a)_R6_C5,PFNp_e,PFNp_e,Traced,345,61,12,28,191,33,200205040
1441485633,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,355,68,18,35,221,32,197085606
1441485832,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,457,94,28,55,321,38,253913577
1441485942,PFNp_c(PB01c)_R4_C7,PFNp_c,PFNp_c,Traced,401,88,25,52,272,36,241584337
1441486002,PFNp_e(PB01a)_R4_C7,PFNp_e,PFNp_e,Traced,241,57,20,33,147,22,161955424
1441498763,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,124,44,8,16,88,28,128861177
1441499171,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,124,41,7,17,96,24,123344847
1441499284,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,134,44,26,24,100,18,128766829
1441503403,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,151,55,25,25,103,29,130308290
1441503748,PFNp_c(PB01c)_L6_C5,PFNp_c,PFNp_c,Traced,350,89,17,54,264,34,237030936
1441848753,PFNp_b(PB01b)_L6_C5,PFNp_b,PFNp_b,Traced,153,44,24,22,102,21,113419994
1442556708,PFNp_d(PB01a)_L7_C6,PFNp_d,PFNp_d,Traced,150,32,93,24,31,1,114358250
1442931671,PFNp_d(PB01a)_L_C7_irreg,PFNp_d,PFNp_d,Traced,90,25,41,20,47,1,95504211
1442931758,PFNp_d(PB01a)_L8_C7,PFNp_d,PFNp_d,Traced,141,23,40,17,71,6,92793700
1443268440,PFNa(PB03)_L8_C7,PFNa,PFNa,Traced,565,138,39,75,314,60,288035778
1443579770,PFNa(PB03)_R4_C7,PFNa,PFNa,Traced,586,114,39,65,311,48,323082717
1472205673,PFNa(PB03)_R2_C9,PFNa,PFNa,Traced,608,128,38,77,330,51,329289610
1472520245,PFNp_d(PB01a)_R4_C7,PFNp_d,PFNp_d,Traced,111,19,39,17,54,2,105055774
1472537557,PFNp_e(PB01a)_L6_C5,PFNp_e,PFNp_e,Traced,189,60,13,30,110,26,119345306
1472542572,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,155,47,11,24,120,23,138376894
1472546868,PFNp_a(PB01a)_L6_C5,PFNp_a,PFNp_a,Traced,127,37,9,18,106,19,118217156
1472866173,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,248,59,23,30,142,29,169702183
1473202957,PFNm_a(PB02a)_R7_C4,PFNm_a,PFNm_a,Traced,680,122,55,75,446,47,307056607
1473207713,PFNp_c(PB01c)_R7_C4,PFNp_c,PFNp_c,Traced,450,94,21,52,284,42,249239486
1503581177,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,143,39,36,28,95,11,111052665
1503581412,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,164,51,12,21,139,30,156770287
1503896377,PFNp_b(PB01b)_R5_C6,PFNp_b,PFNp_b,Traced,166,28,13,13,93,15,136237574
1503922566,PFNp_b(PB01b)_L4_C3,PFNp_b,PFNp_b,Traced,198,61,11,21,109,39,160206746
1504268020,PFNm_a(PB02a)_L7_C6,PFNm_a,PFNm_a,Traced,411,114,84,73,292,40,201619972
1504582746,PFNp_b(PB01b)_R7_C4,PFNp_b,PFNp_b,Traced,234,59,38,36,100,23,97753775
1504924440,PFNm_a(PB02a)_R7_C4,PFNm_a,PFNm_a,Traced,677,130,86,88,431,42,312385916
1509098829,GLNO(LAL-NO1)_L,LGNO,GLNO,Traced,811,447,1,4,805,439,406877798
1513363614,LCNOpm(LAL-NO3pm)_R,LCNpm,LCNOpm,Traced,6501,858,3,,2291,810,2388661962
1534616158,PFNp_d(PB01a)_R2_C9,PFNp_d,PFNp_d,Traced,158,26,56,24,80,2,108758119
1534616361,PFNp_b(PB01b)_R2_C9,PFNp_b,PFNp_b,Traced,178,51,32,28,106,23,147308921
1535298439,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,209,45,14,20,121,25,123385803
1535298460,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,195,53,26,24,114,29,139280020
1535652862,PFNm_a(PB02a)_R4_C7,PFNm_a,PFNm_a,Traced,575,103,67,62,377,41,253886838
1536006733,PFNm_b(PB02b)_L8_C7,PFNm_b,PFNm_b,Traced,448,114,107,76,211,37,203606131
1536326457,PFNp_b(PB01b)_R4_C7,PFNp_b,PFNp_b,Traced,171,34,48,23,63,10,118546130
1537634396,PFNa(PB03)_L3_C2,PFNa,PFNa,Traced,902,187,56,129,426,56,505576414
1539788837,LNOa(LAL-NO3a)_L,LNa,LNOa,Traced,1206,541,1,,1204,541,645821004
1540129092,LCNOpm(LAL-NO3pm)_L,LCNpm,LCNOpm,Traced,2711,862,5,1,2689,855,1286666680
