id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(R) #post,a'L(R) #pre,aL(R) #post,aL(R) #pre,#voxels
542371432,KCab-p_R,,KCab-p,Traced,691,271,13,1,214,96,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,127,58,26,10,387116321
548549395,KCa'b'-m_R,,KCa'b'-m,Traced,692,269,196,96,8,4,437425024
548552875,KCa'b'-m_R,,KCa'b'-m,Traced,687,247,197,91,6,4,429727313
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,171,69,11,8,321780254
548553386,KCa'b'-m_R,,KCa'b'-m,Traced,667,229,166,76,5,2,508515179
548553494,KCa'b'-m_R,,KCa'b'-m,Traced,625,234,137,71,20,6,437355377
548889938,KCa'b'-m_R,,KCa'b'-m,Traced,696,250,209,110,9,4,297282561
548894251,KCa'b'-m_R,,KCa'b'-m,Traced,667,257,200,92,4,2,432164604
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,168,61,38,18,370237636
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,164,88,1,2,415488258
549571627,KCab-p_R,,KCab-p,Traced,742,260,4,1,207,88,368796696
549904387,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,654,291,150,81,1,1,489427720
549908737,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,687,227,206,99,3,1,433385122
570314896,KCa'b'-m_R,,KCa'b'-m,Traced,753,268,168,78,4,3,452328772
573065577,KCab-p_R,,KCab-p,Traced,669,256,10,7,194,96,379155378
579583329,KCa'b'-m_R,,KCa'b'-m,Traced,608,236,191,92,3,2,382209820
579587796,KCa'b'-m_R,,KCa'b'-m,Traced,683,260,188,94,6,5,292206525
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,143,75,22,11,293023586
579592619,KCa'b'-m_R,,KCa'b'-m,Traced,696,239,137,57,14,1,417324948
579916831,MBON15-like(a'1a'2)_R,,MBON15-like,Traced,2652,246,2205,14,32,1,504515769
579924731,KCa'b'-m_R,,KCa'b'-m,Traced,610,245,197,106,2,2,407203929
579928928,KCa'b'-m_R,,KCa'b'-m,Traced,574,233,141,77,3,1,391955328
580598373,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,586,268,144,102,1,1,427496011
580947602,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,631,253,124,69,,2,470261330
600365719,KCab-p_R,,KCab-p,Traced,657,271,2,2,210,103,366582664
601725442,KC(incomplete?),,,Traced,611,242,29,21,,2,428233069
601725569,KCg-d_R,,KCg-d,Traced,562,227,51,24,5,2,333188141
611304789,KCab-s_R,,KCab-s,Traced,587,240,2,1,197,120,304981734
611646050,KCab-p_R,,KCab-p,Traced,697,263,6,2,193,94,346062859
611646147,KCab-p_R,,KCab-p,Traced,696,257,5,3,187,80,368031615
611974080,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,646,279,161,94,3,2,443217358
612323667,KCa'b'-m_R,,KCa'b'-m,Traced,706,224,161,68,27,14,405985069
630373497,KCab-s_R,,KCab-s,Traced,575,248,1,,204,111,302148793
630731599,KCg-t_R,,KCg-t,Traced,649,228,25,13,3,2,307105674
633148716,KCg-m_R,,KCg-m,Traced,869,253,1,,13,3,387890610
641653381,KCa'b'-m_R,,KCa'b'-m,Traced,692,251,164,83,2,1,424988147
642335523,KCab-p_R,,KCab-p,Traced,681,240,10,5,162,69,367954715
