id,instance,notes,type,status,inputs (#post),outputs (#pre),gL(R) #post,gL(R) #pre,LAL(R) #post,LAL(R) #pre,#voxels
1161731111,KCg-m_R,,KCg-m,Traced,840,252,511,208,1,1,368368284
1163898298,FB5V_R,CRELALFB5,FB5V,Traced,1695,274,10,,300,13,661211274
1170352367,LAL008_R,,LAL008,Traced,1897,388,2,,979,107,1094926658
1170935308,AOTU004_R,,AOTU004,Traced,440,189,1,,64,60,370783828
1172670463,KCg-m_R,,KCg-m,Traced,674,226,447,187,1,1,344726997
1173045815,PAM12(y3)_R,,PAM12,Traced,1080,172,579,126,62,1,396639821
1173814525,MBON34(y2)_L,,MBON34,Traced,933,204,294,12,22,4,547627159
1201296549,LAL190_R,pMP19 candidates; SpLC-SpIb(c),LAL190,Traced,3339,646,3,1,1444,66,2077826485
1202704262,CRE037_R,,CRE037,Traced,249,131,13,,8,9,411785071
1203774485,KCg-d_R,,KCg-d,Traced,611,212,445,187,1,1,356073557
1204391417,PAM13(B'1ap)_R,,PAM13,Traced,1004,243,8,3,27,3,366409907
1225290633,FB4C(NO2)_R,CRENO2FB4_1,FB4C,Traced,6802,976,4,,117,12,2367341468
1237179690,,,,Traced,411,368,1,,66,53,381794807
1252966452,LAL199(PVM14)_L,,LAL199,Traced,434,418,2,,57,89,622234921
1263646693,LC33a_R,,LC33a,Traced,274,206,1,,22,148,488943456
1265399790,,,,Traced,96,162,2,1,13,14,769118726
1268179590,LAL043_R,,LAL043,Traced,794,114,4,,625,66,430158581
1292367728,mALD4_L,,mALD4,Traced,3238,1251,5,5,1617,859,2375755009
1300276335,LAL159_R,VeLC-L(c),LAL159,Traced,6693,950,113,,4146,316,2323036998
1318304936,CL338_R,,CL338,Traced,1988,240,6,,1,2,1534293069
1323402830,LAL193_R,VeL-X(c)1,LAL193,Traced,2052,28,7,3,1659,14,1167321058
1352077058,DSKMP1B_R,,DSKMP1B,Traced,2983,560,7,16,6,11,5492683352
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,77,35,3,2,6190229391
1419909152,LAL011_R,,LAL011,Traced,2688,575,2,,1861,311,1268705377
1465630554,LAL161_R,CL-L(c)1,LAL161,Traced,2216,269,7,1,1143,138,911168646
1504052107,PLP036_R,,PLP036,Traced,512,348,3,,82,97,796084057
1504207129,LAL199_R,,LAL199,Traced,458,471,1,,148,293,987660334
1504730162,WED035_R,,WED035,Traced,290,177,1,,44,112,455470332
1508934482,AOTU031_R,,AOTU031,Traced,357,145,1,,135,131,330491253
1509275719,AOTU018_R,,AOTU018,Traced,435,164,1,,161,153,401498385
1603054747,AOTU032_R,,AOTU032,Traced,466,320,1,,19,37,394619425
1629383757,Ascending?,,,Traced,5797,1631,1,1,1368,62,3262430111
1633411858,LAL085_R,,LAL085,Traced,852,9,1,,828,2,566210396
1694807145,LAL195_R,LW-X(c),LAL195,Traced,1459,12,2,,813,5,1139257033
1914460817,VES079_R,,VES079,Traced,1323,550,1,,446,195,1108172940
5812981381,PPL102(y1)(PDL05)_L,,PPL102,Traced,9198,2830,1851,299,86,42,3349981626
5812981441,KCg-m_R,,KCg-m,Traced,795,227,473,174,,1,386706581
5812981791,PPL108(PDL05)_L,,PPL108,Traced,5321,2389,1,,753,671,2164861052
5812982125,CRE032_R,,CRE032,Traced,600,223,14,8,1,6,547536751
5812983101,KCg-m_R,,KCg-m,Traced,712,239,436,188,1,1,357805367
5812983831,AVLP562_R,,AVLP562,Traced,5984,1288,9,1,71,113,3369272816
5812983846,FB4P_b_R,CRESMPFB4_4,FB4P_b,Traced,1494,734,45,4,16,2,1050718993
5812983965,ATL005_R,CL-AtIb(c)2,ATL005,Traced,2164,272,14,,1142,33,896525941
5813009620,SMP109_R,,SMP109,Traced,6129,1399,1,,111,172,2742026328
5813011074,LAL007(ADM01)_L,,LAL007,Traced,679,633,1,,38,118,1535044331
5813019850,CRE048_R,,CRE048,Traced,5674,1107,483,2,208,19,2306300526
5813020996,SMP384(PDM09)_L,,SMP384,Traced,4802,2862,11,7,1,2,2685199565
5813021574,CL247_R,,CL247,Traced,3658,310,1,,36,2,3237338536
5813021602,SMP198_R,,SMP198,Traced,5509,1065,3,,77,1,2907484791
5813022160,SMP567_R,,SMP567,Traced,761,192,2,,7,4,665445190
5813022234,MBON30(y1y2y3)_R,,MBON30,Traced,13786,1430,10282,170,75,13,2864745122
5813022419,CRE038_R,,CRE038,Traced,275,132,19,3,6,7,360831607
5813022759,CRE059_R,,CRE059,Traced,1452,568,3,,273,24,1127295229
5813022811,CRE080_R,pMP6b candidates,CRE080,Traced,1131,236,80,,37,6,1038235689
5813022896,MBON21(y4y5)_R,,MBON21,Traced,12515,1168,10458,28,83,70,3288021127
5813022976,CL265(PVL06)_L,pIP6 candidates,CL265,Traced,332,470,9,,23,32,903566720
5813027016,FB4Y(EB/NO1)_R,EBCREFB45,FB4Y,Traced,6508,1720,4,,421,1,2846693400
5813027592,SMP376_R,C-Sm,SMP376,Traced,6160,927,143,1,42,12,2619111860
5813027737,CRE043_c_R,,CRE043_c,Traced,1269,194,12,,31,11,620901397
5813032485,,,,Traced,237,381,2,,76,118,405363154
5813032771,KCg-s2(super)_R,,KCg-s2,Traced,1845,589,1010,471,4,6,975624467
5813032847,SMP053_R,,SMP053,Traced,3320,522,24,2,6,9,1419279427
5813033033,CRE031_L,,CRE031,Traced,1260,220,131,3,34,14,766024070
5813054079,CRE039_L,,CRE039,Traced,916,146,51,,282,21,349334921
5813055913,FB1C(NO1/NO3)_R,LALNOmFB1,FB1C,Traced,2965,1290,16,1,537,22,1798572771
5813056183,KCg-d_R,,KCg-d,Traced,600,223,418,186,,1,360853469
5813057956,KCg-m_R,,KCg-m,Traced,772,230,455,180,1,1,356908730
5813058048,MBON29(y4y5)_R,,MBON29,Traced,8512,761,6392,21,47,2,2345461437
5813058319,CRE012_R,,CRE012,Traced,4120,938,17,1,938,91,2243348099
5813058320,CRE005_R,,CRE005,Traced,1881,887,12,,822,176,1495874790
5813061114,ATL037_R,,ATL037,Traced,3542,1069,6,1,559,22,2177660654
