id,instance,notes,type,status,inputs (#post),outputs (#pre),a'L(L) #post,a'L(L) #pre,#voxels
673897269,,,,Traced,26,33,15,2,25914715
674229949,,,,Traced,66,40,56,32,30174102
674570925,,,,Traced,77,35,71,32,31633814
674919979,,,,Traced,37,20,37,19,16403258
674920005,,,,Traced,52,32,50,31,16899825
674920019,,,,Traced,33,18,30,15,14475357
674920180,,,,Traced,41,25,39,24,16686849
675261072,,,,Traced,34,17,27,16,15154240
675261080,,,,Traced,32,11,26,10,18329251
675261105,,,,Traced,29,21,27,19,15425714
675261180,,,,Traced,51,7,43,6,7099439
675261231,,,,Traced,18,3,5,1,3203164
675601981,,,,Traced,20,12,12,8,10514921
675602047,,,,Traced,45,34,19,12,25643951
704927430,,,,Traced,95,40,82,36,33832031
704932037,,,,Traced,601,161,69,28,84296659
705264340,,,,Traced,63,38,59,35,32128978
705605536,,,,Traced,84,42,81,41,27957218
706287739,,,,Traced,45,35,34,26,32124162
706288050,,,,Traced,45,29,33,18,23382946
706291625,,,,Traced,45,24,43,23,18123021
706295942,,,,Traced,56,28,55,27,19955025
706295944,,,,Traced,23,17,23,15,13653270
706296108,,,,Traced,18,7,7,3,6315684
706296132,,,,Traced,18,10,17,10,12558846
706296152,,,,Traced,21,13,20,11,15092699
706296367,,,,Traced,42,15,34,12,10747465
706296412,,,,Traced,28,15,28,15,10564908
706633128,,,,Traced,52,36,16,6,27955134
736640236,,,,Traced,61,32,51,28,28971564
736640659,,,,Traced,92,43,88,41,32056972
736640719,,,,Traced,87,41,74,36,32727847
736981590,,,,Traced,350,103,331,97,60829341
736985676,,,,Traced,122,49,76,33,18274959
737330912,,,,Traced,48,29,43,28,18025330
737330958,,,,Traced,48,23,48,23,14457759
737330976,,,,Traced,14,5,5,2,4895547
737331009,,,,Traced,23,16,20,13,9634468
737331042,,,,Traced,36,16,30,13,11713200
737331048,,,,Traced,21,7,18,6,14775273
737331074,,,,Traced,27,18,24,16,13980592
737331175,,,,Traced,30,21,28,17,10967599
737331219,,,,Traced,21,9,21,9,10358280
737667838,,,,Traced,79,19,72,17,13455820
737671800,,,,Traced,30,14,18,8,16102524
737671835,,,,Traced,55,31,23,17,24727854
737671851,,,,Traced,15,11,11,10,9983892
737671897,,,,Traced,16,6,13,4,9004748
737671903,,,,Traced,26,17,19,13,13423187
737672047,,,,Traced,9,4,8,4,5225308
737672106,,,,Traced,6,10,5,8,9144000
737672126,,,,Traced,111,53,25,12,42419389
737672128,,,,Traced,22,9,19,9,14165086
737672169,,,,Traced,23,19,12,10,16375293
766660682,,,,Traced,805,403,57,37,329942671
767675337,,,,Traced,78,34,71,30,26700330
768016815,,,,Traced,83,37,80,35,28853139
768362048,,,,Traced,26,11,24,11,8680352
768365745,,,,Traced,36,22,35,21,14328979
768365752,,,,Traced,17,13,11,9,9821663
768365919,,,,Traced,28,17,27,17,10080389
768366147,,,,Traced,13,9,10,8,5387518
768366154,,,,Traced,20,13,19,11,7031018
768706749,,,,Traced,17,9,17,9,10364411
768706750,,,,Traced,20,10,20,9,12767287
768706852,,,,Traced,27,14,26,14,12216637
768706857,,,,Traced,45,18,43,16,9795365
768706904,,,,Traced,6,6,6,6,6095738
768706935,,,,Traced,14,2,14,2,2901121
768707032,,,,Traced,7,4,7,4,5277349
768707087,,,,Traced,12,7,12,7,6824327
768707101,,,,Traced,28,20,28,19,10273727
768707119,,,,Traced,22,9,19,9,4938522
769036165,,,,Traced,120,12,68,12,19525144
769047993,,,,Traced,19,12,6,9,15065753
769047998,,,,Traced,10,3,10,3,5365625
769048058,,,,Traced,13,8,13,8,6296913
769048165,,,,Traced,19,11,15,8,11712933
799379607,,,,Traced,33,21,1,1,16536342
799392124,,,,Traced,67,31,57,27,28411401
799392280,,,,Traced,26,11,24,10,7717244
799392282,,,,Traced,38,18,38,18,12825943
799392300,,,,Traced,60,32,54,30,21340204
799392306,,,,Traced,35,17,35,17,12028369
799392447,,,,Traced,34,13,34,13,9747709
799396495,,,,Traced,82,45,80,45,30506154
799396593,,,,Traced,57,12,57,12,9938870
799397066,,,,Traced,69,11,69,11,8104436
799400904,,,,Traced,16,6,16,6,4521275
799401002,,,,Traced,24,13,24,13,5944427
799401048,,,,Traced,20,6,20,6,4344344
799733336,,,,Traced,189,28,187,27,23957698
799733842,,,,Traced,56,20,45,19,26976700
799741640,,,,Traced,31,19,31,19,10933560
799741668,,,,Traced,19,5,19,4,4161686
799741691,,,,Traced,16,2,13,1,1736497
799741763,,,,Traced,40,22,40,22,11540265
800082939,,,,Traced,12,6,11,6,7644199
829749304,,,,Traced,85,26,67,21,29725251
830086011,,,,Traced,28,8,28,8,6263491
830431570,,,,Traced,26,9,26,9,6252408
830431746,,,,Traced,27,10,27,10,5976357
830431822,,,,Traced,11,6,11,6,2311153
830431851,,,,Traced,22,9,22,9,5141165
830435769,,,,Traced,19,10,16,10,4857780
830435786,,,,Traced,8,5,6,4,2885023
830435805,,,,Traced,11,5,11,5,1532142
830435894,,,,Traced,11,3,5,2,2016759
830768222,,,,Traced,58,28,44,22,23404979
830772573,,,,Traced,22,8,22,8,5085603
830772632,,,,Traced,19,9,19,9,4609563
830772681,,,,Traced,11,7,11,7,4279539
830772702,,,,Traced,37,5,37,5,5182304
830776647,,,,Traced,32,16,32,16,10608525
830776656,,,,Traced,12,11,12,11,5760746
830776678,,,,Traced,10,2,10,2,3825770
831113316,,,,Traced,51,28,25,14,25931501
831114007,,,,Traced,48,29,29,20,23307647
831117621,,,,Traced,16,2,16,2,1297622
831117682,,,,Traced,26,13,26,13,8677530
831117888,,,,Traced,17,7,17,7,6235826
861109036,,,,Traced,36,62,2,6,65129775
861121201,,,,Traced,87,22,66,19,11591899
861466125,,,,Traced,29,11,29,11,4839252
861466301,,,,Traced,18,9,18,9,4068509
861466316,,,,Traced,11,3,11,3,1917770
861466376,,,,Traced,26,10,26,10,6341339
861470784,,,,Traced,17,7,17,7,3961970
861470823,,,,Traced,15,6,14,6,3061220
861807253,,,,Traced,8,4,8,4,1594324
861807543,,,,Traced,51,28,47,27,23419685
861811483,,,,Traced,20,11,20,11,9121793
861811785,,,,Traced,28,14,28,14,6387263
861811832,,,,Traced,32,15,32,15,7478493
862152569,,,,Traced,13,6,13,6,4091016
862152678,,,,Traced,42,17,42,17,10458771
862493647,,,,Traced,11,7,9,7,8783255
862493671,,,,Traced,15,5,15,5,7944893
862493823,,,,Traced,19,3,19,3,2262394
892501517,,,,Traced,11,6,11,6,2435768
892842189,,,,Traced,17,6,17,6,3517112
892842446,,,,Traced,11,5,11,5,2854935
892846498,,,,Traced,21,4,21,4,8641308
892846676,,,,Traced,31,4,31,4,3323793
892846724,,,,Traced,192,31,192,31,25495515
893183833,,,,Traced,17,8,17,8,3530659
893183847,,,,Traced,83,15,83,15,13946292
893187462,,,,Traced,8,5,8,5,1757068
893524292,,,,Traced,42,24,17,12,27299355
893528476,,,,Traced,16,7,16,7,9251601
893528491,,,,Traced,1,2,1,2,3228122
893528515,,,,Traced,6,13,6,13,8750157
893528627,,,,Traced,9,4,9,3,4964143
923195424,,,,Traced,10,1,1,1,934505
923536328,,,,Orphan,15,1,15,1,113725
923540375,,,,Traced,12,6,12,6,1491338
923540618,,,,Traced,4,8,4,8,4276799
923877090,,,,Traced,12,6,12,6,4283003
924559115,,,,Traced,36,6,36,6,4937160
924563429,,,,Traced,3,2,3,2,1694783
954575192,,,,Traced,9,2,9,2,1848442
954916348,,,,Traced,6,2,6,2,1825198
954916411,,,,Traced,5,3,5,3,1445612
954916491,,,,Traced,34,5,28,5,7707999
955257512,,,,Traced,7,2,7,2,1864795
985947329,,,,Traced,18,1,17,1,2226545
986292165,,,,Traced,11,2,11,2,1383546
