id,instance,notes,type,status,inputs (#post),outputs (#pre),BU(R) #post,BU(R) #pre,#voxels
1291366237,ER3p_b(ring)_R,,ER3p_b,Traced,1070,326,146,5,661036009
1291435776,ER3p_a(ring)_R,,ER3p_a,Traced,824,289,91,3,694712883
1291780675,ER3m(ring)_R,,ER3m,Traced,968,295,65,4,616393513
1292121433,ER3d_d(ring)_R,,ER3d_d,Traced,1138,310,119,4,638846821
1292466818,ER3d_d(ring)_R,,ER3d_d,Traced,1084,311,102,4,601214765
1292730253,,,,Orphan,13,1,13,1,1484650
1292794996,ER3m(ring)_R,,ER3m,Traced,959,277,58,2,589899242
1292803650,ER3m(ring)_R,,ER3m,Traced,1017,336,78,9,660582381
1292807819,ER3m(ring)_R,,ER3m,Traced,1018,282,64,1,601265310
1292816565,ER3m(ring)_R,,ER3m,Traced,1029,333,107,8,680157635
1292847181,ER4m(ring)_R,,ER4m,Traced,1702,921,143,5,1630290346
1293136062,ER3a_a(ring)_R,,ER3a_a,Traced,706,206,103,7,462829419
1298804357,TuBu03_IBU_R,,TuBu03,Traced,237,77,24,77,222259394
1322474586,ER3p_a(ring)_R,,ER3p_a,Traced,873,293,69,5,639550959
1322811240,ER3p_a(ring)_R,,ER3p_a,Traced,925,314,90,6,697431632
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,133,5,611348841
1324145475,ER4d(ring)_R,,ER4d,Traced,1999,555,110,5,1148479791
1324430237,ER6(ring)_R,,ER6,Traced,2216,550,36,24,1016271341
1355810793,ER3a_a(ring)_R,,ER3a_a,Traced,649,194,73,4,461317053
1379644459,CL033(ADL27)_L,,CL033,Traced,2054,2750,4,8,3288488656
1384811781,,,,Orphan,11,1,11,1,1480257
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,3,10,6190229391
1449247522,ExR2(PPM3-EB-DAN/ring)_R,,ExR2,Traced,2389,1124,131,201,1184449527
1513674176,ER4d(ring)_R,,ER4d,Traced,1993,588,122,15,1182276480
1934975261,,,,Traced,916,690,1,6,800645639
5812979222,ER4d(ring)_R,,ER4d,Traced,2007,573,119,7,1089870136
5812979230,ER3w_b(ring)_R,,ER3w_b,Traced,893,285,51,6,672398766
5812979232,TuBu10_SBU_R,,TuBu10,Traced,143,54,43,53,193010592
5812983734,ER6(ring)_R,,ER6,Traced,2158,537,26,16,901469199
5812984024,ER3a_a(ring)_R,,ER3a_a,Traced,783,222,91,4,469401707
5812986547,TuBu04_IBU_R,,TuBu04,Traced,232,85,27,84,227903457
5812986870,TuBu05_SBU_R,,TuBu05,Traced,400,69,7,68,277080946
5812986876,TuBu07_SBU_R,,TuBu07,Traced,442,64,44,63,231214791
5812987236,TuBu08_SBU_R,,TuBu08,Traced,525,120,41,78,260745095
5812987684,ExR7(ring)_L,,ExR7,Traced,2886,822,3,5,1478126146
5813013678,TuBu07_SBU_R,,TuBu07,Traced,417,103,85,103,312212492
5813014029,TuBu07_SBU_R,,TuBu07,Traced,392,66,31,66,242536960
5813016915,TuBu08_SBU_R,,TuBu08,Traced,487,85,53,83,251614064
5813020409,ER2_c(ring)_R,,ER2_c,Traced,1517,475,122,3,919409180
5813020453,ER5(ring)_R,,ER5,Traced,1006,549,86,6,1210868532
5813020455,ER3w_b(ring)_R,,ER3w_b,Traced,978,297,28,2,632754362
5813020568,ER3p_a(ring)_R,,ER3p_a,Traced,875,339,120,29,643107472
5813020585,ER3p_a(ring)_R,,ER3p_a,Traced,919,300,70,1,758859295
5813041180,FB4L(PPM3-FB3/4-DAN)_R,LALSIPFB4,FB4L,Traced,1595,546,3,1,1501021625
5813047647,ER2_c(ring)_R,,ER2_c,Traced,1683,504,112,1,964961055
5813048896,ER2_c(ring)_R,,ER2_c,Traced,1420,471,110,2,1013861975
5813050767,ER4m(ring)_R,,ER4m,Traced,1786,916,139,5,1556793027
5813053983,ER3w_b(ring)_R,,ER3w_b,Traced,847,304,67,1,711144862
5813053988,ER3w_a(ring)_R,,ER3w_a,Traced,1230,346,75,4,758610895
5813060726,ExR5(ring)_R,,ExR5,Traced,2822,985,32,53,1931391198
5813065506,TuBu10_SBU_R,,TuBu10,Traced,308,66,71,64,195579340
5813069696,TuBu08_SBU_R,,TuBu08,Traced,388,77,33,75,228645146
5813071320,AOTU046_R,,AOTU046,Traced,2410,743,246,289,1770276774
5813077556,ER2_b(ring)_R,,ER2_b,Traced,1131,324,96,1,743357121
5813096198,SMP018_b_R,,SMP018_b,Traced,915,168,3,1,522209525
