id,instance,notes,type,status,inputs (#post),outputs (#pre),EB #post,EB #pre,FB #post,FB #pre,#voxels
1225951007,hDeltaK_07_C6b,EBFB34D5FB6,hDeltaK,Traced,772,237,58,,656,215,591343919
1227263212,hDeltaK_10_C8,EBFB34D5FB6,hDeltaK,Traced,926,282,13,,898,277,732223530
1228683492,ExR8(ring)_L,,ExR8,Traced,1853,7,1335,5,26,1,639551659
1255297788,FB2B_a_R,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2256,831,4,1,1850,822,1011197699
1257301237,hDeltaK_04_C4,EBFB34D5FB6,hDeltaK,Traced,1108,246,40,,1053,245,689869232
1259325203,hDeltaK_08_C7b,EBFB34D5FB6,hDeltaK,Traced,834,254,39,,793,254,672657232
1259386264,ExR7(ring)_R,,ExR7,Traced,2526,785,2311,438,7,3,1412316280
1259718093,ExR8(ring)_R,,ExR8,Traced,1863,475,1276,5,2,1,1170924542
1261056809,ER4d(ring)_L,,ER4d,Traced,1997,580,1985,573,,1,720375603
1261427885,ER3d_b(ring)_R,,ER3d_b,Traced,1010,278,885,268,4,1,596231811
1292070004,hDeltaK_08_C7c,EBFB34D5FB6,hDeltaK,Traced,934,261,68,,861,260,808535091
1292882359,EL(EQ5)_R,EBGAs,EL,Traced,3977,685,3966,680,1,1,1041443302
1317712712,FB2B_a_L,LALCREFB2_1; Tdc2 (TA)-ASM candidates,FB2B_a,Traced,2131,874,4,,1965,865,917030170
1318109929,PEN_b(PB06b)_L7,PEN2,PEN_b(PEN2),Traced,1781,438,792,301,7,19,839952860
1318394745,FB3C_L,LALSMPFB3,FB3C,Traced,599,214,3,,528,214,304746882
1321140852,EL(EQ5)_R,EBGAs,EL,Traced,3982,769,3927,754,33,8,1082336887
1323156554,ER3p_b(ring)_R,,ER3p_b,Traced,1065,335,903,323,6,2,611348841
1324209745,FB3B(EB)_L,EBCREFB3,FB3B,Traced,696,244,220,41,368,202,346714067
1342539738,vDeltaA_b_C0,FB1D0FB8,vDeltaA_b,Traced,157,34,1,,145,34,142241933
1349102153,FB3C_L,LALSMPFB3,FB3C,Traced,729,226,1,,605,225,368222887
1353544607,PEN_b(PB06b)_L8,PEN2,PEN_b(PEN2),Traced,1807,490,691,318,4,23,619565622
1414936386,,,,Orphan,38,3,10,,28,3,4723542
1418618235,SIFa(PDM34),,SIFa,Traced,1592,935,57,34,131,64,6190229391
1446238664,,,,Orphan,22,4,3,,19,4,2959411
1447253749,EL(EQ5)_R,EBGAs,EL,Traced,3970,668,3953,661,16,1,1208330340
1478732596,,,,Traced,34,37,23,11,4,6,63289660
1508369047,EL(EQ5)_R,EBGAs,EL,Traced,4309,796,4196,771,92,15,1112317868
1600083889,PEN_b(PB06b)_L9,PEN2,PEN_b(PEN2),Traced,1513,328,535,215,5,9,535483990
1601771527,PEN_b(PB06b)_R9,PEN2,PEN_b(PEN2),Traced,1585,330,596,235,2,11,695171696
1631450739,PEN_b(PB06b)_L5,PEN2,PEN_b(PEN2),Traced,1969,454,659,325,7,10,883989562
5812983538,FB4E_R,CRELALFB4_1,FB4E,Traced,1010,149,1,,456,149,393742441
5812983883,FB4F_a_R,CRELALFB4_2,FB4F_a,Traced,1949,422,2,,1110,416,933273354
5813012006,EPG(PB08)_L7,EPG,EPG,Traced,3883,539,3503,255,11,2,1075949177
5813014873,EPG(PB08)_R1,EPG,EPG,Traced,4099,507,3775,268,20,1,1255365813
5813014882,PEG(PB07)_R5,PEG,PEG,Traced,1147,143,273,140,4,2,613166421
5813021963,hDeltaK_01_C1b,EBFB34D5FB6,hDeltaK,Traced,853,264,33,,817,264,719018124
