id,instance,notes,type,status,inputs (#post),outputs (#pre),aL(R) #post,aL(R) #pre,bL(R) #post,bL(R) #pre,#voxels
487501700,KCab-s_R,,KCab-s,Traced,586,238,235,121,148,66,302170646
487834179,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,596,252,4,2,5,1,448443256
487847296,KCab-s_R,,KCab-s,Traced,544,236,184,102,168,79,280268143
488179585,KCab-s_R,,KCab-s,Traced,557,202,179,86,203,73,302708971
488184014,KCab-s_R,,KCab-s,Traced,644,229,251,107,171,79,340861240
488188560,KCab-s_R,,KCab-s,Traced,612,240,244,119,173,86,279209678
488205572,KCab-s_R,,KCab-s,Traced,662,273,242,115,179,88,324030943
488520820,KCab-p_R,,KCab-p,Traced,667,231,195,72,217,75,346345890
488533722,KCab-s_R,,KCab-s,Traced,558,214,219,109,149,73,282846886
507243409,KCab-c_R,,KCab-c,Traced,536,180,206,71,104,47,255763763
507260559,KCab-m_R,,KCab-m,Traced,564,190,209,83,110,45,261712236
507592981,KCab-m_R,,KCab-m,Traced,531,183,199,75,125,58,249058216
508292573,KCab-c_R,,KCab-c,Traced,425,151,153,56,106,39,232613027
512765910,PAM11(a1)_R,,PAM11,Traced,929,194,492,166,15,2,521006485
517518166,MBON11(y1pedc>a/B)(ADM05)_L,,MBON11,Traced,1160,1378,119,30,222,34,1964048244
517858947,KCab-p_R,,KCab-p,Traced,674,269,181,89,204,81,390763882
517871837,KCa'b'-m_R,,KCa'b'-m,Traced,699,240,6,4,6,4,451451628
518195738,KCab-p_R,,KCab-p,Traced,765,254,185,79,270,93,415425333
518532490,KCa'b'-m_R,,KCa'b'-m,Traced,592,229,22,9,29,1,408741628
518873469,KCab-s_R,,KCab-s,Traced,617,248,204,114,156,77,314733974
518873604,KCab-s_R,,KCab-s,Traced,633,215,209,95,208,81,300234023
518882016,KCab-s_R,,KCab-s,Traced,586,242,249,119,131,66,330285882
519214895,KCa'b'-ap1_R,,KCa'b'-ap1,Traced,642,256,7,4,2,1,455019134
519218919,KCab-s_R,,KCab-s,Traced,571,211,226,96,164,74,294184807
519223027,KCab-s_R,,KCab-s,Traced,501,203,183,96,152,68,255505588
519223428,KCab-m_R,,KCab-m,Traced,576,196,187,84,180,72,264529878
519232054,KCab-s_R,,KCab-s,Traced,583,207,225,102,145,61,187754392
519555690,KCab-p_R,,KCab-p,Traced,608,245,216,88,177,80,350846940
519564501,KCab-s_R,,KCab-s,Traced,496,193,214,106,98,53,245598444
519573099,KCab-s_R,,KCab-s,Traced,524,234,220,117,137,76,292191501
519573128,KCab-p_R,,KCab-p,Traced,728,249,248,99,270,88,360265700
519900699,KCab-s_R,,KCab-s,Traced,527,243,188,95,178,89,298223678
519905418,KCab-s_R,,KCab-s,Traced,636,243,278,126,168,68,331018356
537945877,KCab-c_R,,KCab-c,Traced,508,195,203,94,104,49,264019807
538282782,KCab-m_R,,KCab-m,Traced,524,183,223,90,106,49,252411143
538308362,KCab-m_R,,KCab-m,Traced,565,206,209,93,114,59,291493387
538653955,KCab-c_R,,KCab-c,Traced,507,190,166,73,107,51,238594413
538908474,KCab-m_R,,KCab-m,Traced,554,216,236,97,133,59,322590900
539249493,KCab-m_R,,KCab-m,Traced,540,194,199,88,148,62,300471756
542371432,KCab-p_R,,KCab-p,Traced,691,271,214,96,244,95,367180498
548549000,KCa'b'-m_R,,KCa'b'-m,Traced,596,209,26,10,6,3,387116321
548552915,KCa'b'-m_R,,KCa'b'-m,Traced,680,230,11,8,3,2,321780254
548898520,KCa'b'-m_R,,KCa'b'-m,Traced,652,213,38,18,15,4,370237636
549230949,KCa'b'-ap2_R,,KCa'b'-ap2,Traced,578,243,1,2,,1,415488258
549248200,KCab-p_R,,KCab-p,Traced,714,256,237,107,244,91,392920755
549571627,KCab-p_R,,KCab-p,Traced,742,260,207,88,294,104,368796696
549572017,KCab-m_R,,KCab-m,Traced,547,204,240,100,134,58,267773432
549576117,KCab-m_R,,KCab-m,Traced,550,214,229,99,124,62,302897528
549576424,KCab-m_R,,KCab-m,Traced,552,221,217,100,156,81,247434725
549916869,KCab-m_R,,KCab-m,Traced,547,210,222,98,137,66,257037426
549917317,KCab-m_R,,KCab-m,Traced,549,225,210,97,150,70,297411968
550271272,KCab-s_R,,KCab-s,Traced,619,242,235,120,179,94,310517133
550598935,KCab-s_R,,KCab-s,Traced,509,204,189,100,130,66,269577643
550599514,KCab-s_R,,KCab-s,Traced,599,207,233,95,153,72,274655094
568635279,KCab-m_R,,KCab-m,Traced,580,196,243,94,101,47,272888717
569002579,KCab-m_R,,KCab-m,Traced,539,183,178,82,121,52,232132914
569313277,KCab-m_R,,KCab-m,Traced,549,216,202,101,135,65,286507058
569317846,KCab-m_R,,KCab-m,Traced,529,208,204,100,138,60,270885312
569334986,KCab-c_R,,KCab-c,Traced,428,172,171,77,93,38,233894031
569615641,KCab-s_R,,KCab-s,Traced,574,219,216,97,158,69,309982464
569943419,KCab-m_R,,KCab-m,Traced,594,202,243,97,126,53,322627465
570288900,KCab-m_R,,KCab-m,Traced,555,189,214,94,123,55,283332096
573065577,KCab-p_R,,KCab-p,Traced,669,256,194,96,242,72,379155378
578694777,PAM11(a1)_L,,PAM11,Traced,753,226,559,177,77,24,399312668
579592279,KCa'b'-m_R,,KCa'b'-m,Traced,661,247,22,11,4,3,293023586
